No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Routing,Route Annotations,Use attributes or YAML for route configuration in Symfony controllers,Use PHP 8 attributes for route definitions. Group routes with prefix and middleware,Define all routes in separate YAML files away from controllers,"#[Route('/api/posts', name: 'api_posts_')]\nclass PostController extends AbstractController {\n    #[Route('', methods: ['GET'], name: 'index')]\n    public function index(): JsonResponse {\n        // ...\n    }\n    #[Route('/{id}', methods: ['GET'], name: 'show')]\n    public function show(int $id): JsonResponse {\n        // ...\n    }\n    #[Route('', methods: ['POST'], name: 'create')]\n    public function create(Request $request): JsonResponse {\n        // ...\n    }\n}","# config/routes.yaml with all routes in one file\n# Far from the controller code",Medium,https://symfony.com/doc/current/routing.html
2,Dependency Injection,Service Container,Let Symfony autowire services through constructor injection,Use autowiring and autoconfigure. Each service gets its dependencies automatically,Manually configure every service in services.yaml,"# config/services.yaml\nservices:\n    _defaults:\n        autowire: true\n        autoconfigure: true\n    App\\:\n        resource: '../src/'\n        exclude: '../src/{DependencyInjection,Entity,Kernel.php}'\n\n// Constructor injection:\nclass OrderService {\n    public function __construct(\n        private EntityManagerInterface $em,\n        private LoggerInterface $logger\n    ) {}\n}","# Manually defining every service:\nservices:\n    App\\Service\\OrderService:\n        arguments:\n            $em: '@doctrine.orm.entity_manager'\n            $logger: '@monolog.logger'\n    # Repeated for every service...",High,https://symfony.com/doc/current/service_container.html
3,Doctrine,Entity Mapping,Use PHP 8 attributes for Doctrine entity mapping with proper relationships,Define entities with typed properties and relationship attributes. Use migrations for schema,"Use annotations (deprecated) or YAML mapping","#[ORM\\Entity(repositoryClass: PostRepository::class)]\n#[ORM\\Table(name: 'posts')]\n#[ORM\\HasLifecycleCallbacks]\nclass Post {\n    #[ORM\\Id]\n    #[ORM\\GeneratedValue]\n    #[ORM\\Column]\n    private ?int $id = null;\n\n    #[ORM\\Column(length: 255)]\n    private string $title;\n\n    #[ORM\\ManyToOne(inversedBy: 'posts')]\n    #[ORM\\JoinColumn(nullable: false)]\n    private User $author;\n\n    #[ORM\\OneToMany(targetEntity: Comment::class, mappedBy: 'post', cascade: ['persist', 'remove'])]\n    private Collection $comments;\n}","/** @ORM\\Entity */  // Doctrine annotations (deprecated)\nclass Post {\n    /** @ORM\\Id @ORM\\Column(type='integer') */\n    private $id;\n}",High,https://symfony.com/doc/current/doctrine.html
4,Doctrine,Repository Pattern,Use custom repository classes for data access with Doctrine QueryBuilder,Create repositories extending ServiceEntityRepository. Use QueryBuilder for complex queries,Put queries directly in controllers or use raw DQL everywhere,"class PostRepository extends ServiceEntityRepository {\n    public function __construct(ManagerRegistry $registry) {\n        parent::__construct($registry, Post::class);\n    }\n\n    public function findPublished(int $limit = 20): array {\n        return $this->createQueryBuilder('p')\n            ->where('p.status = :status')\n            ->setParameter('status', 'published')\n            ->orderBy('p.publishedAt', 'DESC')\n            ->setMaxResults($limit)\n            ->getQuery()\n            ->getResult();\n    }\n}","// In controller:\n$posts = $em->createQuery('SELECT p FROM App\\Entity\\Post p WHERE p.status = :s')\n    ->setParameter('s', 'published')\n    ->getResult();",High,https://symfony.com/doc/current/doctrine.html#querying-for-objects
5,Forms,Form Types,Use Symfony Form component for input handling and validation,Create FormType classes. Let Symfony handle data binding and CSRF,"Manually parse request data and validate with if/else","class PostType extends AbstractType {\n    public function buildForm(FormBuilderInterface $builder, array $options): void {\n        $builder\n            ->add('title', TextType::class, [\n                'constraints' => [new NotBlank(), new Length(max: 255)],\n            ])\n            ->add('body', TextareaType::class, [\n                'constraints' => [new NotBlank()],\n            ])\n            ->add('category', EntityType::class, [\n                'class' => Category::class,\n                'choice_label' => 'name',\n            ]);\n    }\n}\n\n// Controller:\n$form = $this->createForm(PostType::class);\n$form->handleRequest($request);\nif ($form->isSubmitted() && $form->isValid()) {\n    $post = $form->getData();\n}","$title = $request->request->get('title');\nif (empty($title)) { throw new BadRequestException(); }\n// Manual extraction for every field",Medium,https://symfony.com/doc/current/forms.html
6,Validation,Validation Constraints,Use Symfony Validator with PHP 8 attributes for entity and DTO validation,Apply validation attributes directly on entity/DTO properties,Validate manually in controllers,"class CreatePostDTO {\n    #[Assert\\NotBlank]\n    #[Assert\\Length(max: 255)]\n    public string $title;\n\n    #[Assert\\NotBlank]\n    #[Assert\\Length(min: 10)]\n    public string $body;\n\n    #[Assert\\NotNull]\n    #[Assert\\Positive]\n    public int $categoryId;\n\n    #[Assert\\All([\n        new Assert\\Type('string'),\n        new Assert\\Length(max: 50)\n    ])]\n    public array $tags = [];\n}\n\n// Validate:\n$errors = $validator->validate($dto);\nif (count($errors) > 0) { ... }","if (strlen($title) > 255) throw new Exception();\nif (empty($body)) throw new Exception();\n// Manual validation for each field",High,https://symfony.com/doc/current/validation.html
7,Messenger,Async Processing with Messenger,Use Symfony Messenger for asynchronous message handling,Define messages and handlers. Configure async transports for background processing,Process everything synchronously in the request,"// Message:\nclass SendEmailNotification {\n    public function __construct(\n        public readonly int $userId,\n        public readonly string $template\n    ) {}\n}\n\n// Handler:\n#[AsMessageHandler]\nclass SendEmailNotificationHandler {\n    public function __construct(private MailerInterface $mailer) {}\n    public function __invoke(SendEmailNotification $message): void {\n        $user = $this->userRepo->find($message->userId);\n        $this->mailer->send(...);\n    }\n}\n\n// Config: config/packages/messenger.yaml\n// routing:\n//   App\\Message\\SendEmailNotification: async\n\n// Dispatch:\n$bus->dispatch(new SendEmailNotification($user->getId(), 'welcome'));","// Synchronous in controller:\n$mailer->send($email); // User waits for SMTP",High,https://symfony.com/doc/current/messenger.html
8,Security,Security Bundle,Use Symfony Security for authentication authorization and firewalls,Configure security.yaml with firewalls providers and access control,Build custom auth from scratch,"# config/packages/security.yaml\nsecurity:\n    password_hashers:\n        Symfony\\Component\\Security\\Core\\User\\PasswordAuthenticatedUserInterface: 'auto'\n    providers:\n        app_user_provider:\n            entity:\n                class: App\\Entity\\User\n                property: email\n    firewalls:\n        api:\n            pattern: ^/api\n            stateless: true\n            jwt: ~\n    access_control:\n        - { path: ^/api/login, roles: PUBLIC_ACCESS }\n        - { path: ^/api, roles: ROLE_USER }","// Custom auth in every controller:\nif (!$this->isAuthenticated($request)) {\n    throw new AccessDeniedException();\n}\n// No centralized security",Critical,https://symfony.com/doc/current/security.html
9,Security,Voters for Authorization,Use Voters for complex authorization logic beyond simple role checks,Create Voter classes for entity-level permissions. Use #[IsGranted] attribute,Check permissions with if/else in every controller method,"#[AsVoter]\nclass PostVoter extends Voter {\n    protected function supports(string $attribute, mixed $subject): bool {\n        return in_array($attribute, ['EDIT', 'DELETE']) && $subject instanceof Post;\n    }\n    protected function voteOnAttribute(string $attribute, mixed $subject, TokenInterface $token): bool {\n        $user = $token->getUser();\n        return match($attribute) {\n            'EDIT' => $subject->getAuthor() === $user,\n            'DELETE' => $subject->getAuthor() === $user || in_array('ROLE_ADMIN', $user->getRoles()),\n            default => false,\n        };\n    }\n}\n\n// Controller:\n#[IsGranted('EDIT', subject: 'post')]\npublic function edit(Post $post): Response { }","if ($post->getAuthor() !== $this->getUser()) {\n    throw new AccessDeniedException();\n}\n// Duplicated in every action",High,https://symfony.com/doc/current/security/voters.html
10,Events,Event Dispatcher,Use Symfony Events for decoupling side effects from main logic,Create Event classes and EventSubscribers. Use #[AsEventListener] attribute,Call side effects directly in services,"// Event:\nclass OrderPlacedEvent {\n    public function __construct(public readonly Order $order) {}\n}\n\n// Listener:\n#[AsEventListener(event: OrderPlacedEvent::class)]\nclass SendOrderConfirmation {\n    public function __invoke(OrderPlacedEvent $event): void {\n        // Send notification\n    }\n}\n\n// Dispatch:\n$dispatcher->dispatch(new OrderPlacedEvent($order));","// Direct coupling:\n$order = $this->createOrder($data);\n$this->mailer->sendConfirmation($order);\n$this->analytics->trackPurchase($order);\n$this->cache->invalidate('orders');",Medium,https://symfony.com/doc/current/event_dispatcher.html
