No,Pattern Name,Keywords,Context,Do,Dont,Code Good,Code Bad,Severity,Package
1,Custom Error Classes,"custom error, extends Error, error class, statusCode, error code","When you need to distinguish between different error types in your application and attach metadata like HTTP status codes or error codes to exceptions","Create a base AppError class that extends Error and sets the name property; add statusCode and error code fields; always call super(message) and Object.setPrototypeOf for correct instanceof behavior","Throw plain strings or generic Error objects without context; forget to set Object.setPrototypeOf which breaks instanceof checks in TypeScript","export class AppError extends Error {
  public readonly statusCode: number;
  public readonly code: string;
  public readonly isOperational: boolean;

  constructor(message: string, statusCode: number, code: string, isOperational = true) {
    super(message);
    this.statusCode = statusCode;
    this.code = code;
    this.isOperational = isOperational;
    this.name = this.constructor.name;
    Object.setPrototypeOf(this, new.target.prototype);
    Error.captureStackTrace(this, this.constructor);
  }
}

export class NotFoundError extends AppError {
  constructor(resource: string, id: string) {
    super(`${resource} with id ${id} not found`, 404, 'RESOURCE_NOT_FOUND');
  }
}

export class ConflictError extends AppError {
  constructor(message: string) {
    super(message, 409, 'CONFLICT');
  }
}

// Usage
throw new NotFoundError('User', '123');","// Bad: throwing plain strings
throw 'Something went wrong';

// Bad: generic Error with no context
throw new Error('Not found');

// Bad: forgetting Object.setPrototypeOf
class BadError extends Error {
  constructor(message: string) {
    super(message);
    // Missing Object.setPrototypeOf
    // instanceof checks will fail!
  }
}

// Bad: using status codes in random places
if (!user) {
  const err: any = new Error('not found');
  err.status = 404;
  throw err;
}",error,
2,Express Error Middleware,"express, error middleware, error handler, centralized, next(err)","When building an Express API and you need a centralized place to catch and format all errors instead of handling them in every route","Define a 4-parameter middleware (err, req, res, next) registered after all routes; check if err is an instance of your custom AppError; log the error; send a structured JSON response","Forget the 4th parameter (next) which makes Express treat it as a normal middleware; send stack traces to the client in production; forget to call next(err) in route handlers","import { Request, Response, NextFunction } from 'express';
import { AppError } from './errors';
import { logger } from './logger';

export function errorHandler(
  err: Error,
  req: Request,
  res: Response,
  _next: NextFunction
): void {
  if (err instanceof AppError) {
    logger.warn({ err, path: req.path }, 'Operational error');
    res.status(err.statusCode).json({
      status: 'error',
      code: err.code,
      message: err.message,
    });
    return;
  }

  logger.error({ err, path: req.path }, 'Unexpected error');
  res.status(500).json({
    status: 'error',
    code: 'INTERNAL_ERROR',
    message: 'An unexpected error occurred',
  });
}

// Registration
const app = express();
app.use('/api', apiRouter);
app.use(errorHandler); // Must be LAST","// Bad: 3-parameter middleware is NOT an error handler
app.use((err: Error, req: Request, res: Response) => {
  // Express ignores this as an error handler
  // because it has only 3 parameters!
  res.status(500).json({ error: err.message });
});

// Bad: leaking stack trace in production
app.use((err: Error, req: Request, res: Response, next: NextFunction) => {
  res.status(500).json({
    error: err.message,
    stack: err.stack, // Never send this to clients!
  });
});

// Bad: not calling next(err) in route
app.get('/users/:id', async (req, res) => {
  try {
    const user = await getUser(req.params.id);
    res.json(user);
  } catch (err) {
    res.status(500).json({ error: 'fail' }); // Should use next(err)
  }
});",error,express
3,Fastify Error Handler,"fastify, setErrorHandler, error schema, fastify error","When building a Fastify API and you want to handle errors globally with proper schema validation on error responses","Use fastify.setErrorHandler to register a global handler; define error response schemas in your route config; leverage Fastify's built-in validation error formatting; use reply.status().send()","Throw errors without using Fastify's error conventions; forget to define error response schemas; use Express-style middleware patterns in Fastify","import Fastify, { FastifyError, FastifyReply, FastifyRequest } from 'fastify';
import { AppError } from './errors';

const app = Fastify({ logger: true });

app.setErrorHandler((error: FastifyError, request: FastifyRequest, reply: FastifyReply) => {
  request.log.error({ err: error }, 'Request error');

  if (error instanceof AppError) {
    return reply.status(error.statusCode).send({
      status: 'error',
      code: error.code,
      message: error.message,
    });
  }

  if (error.validation) {
    return reply.status(400).send({
      status: 'error',
      code: 'VALIDATION_ERROR',
      message: 'Invalid request',
      details: error.validation,
    });
  }

  return reply.status(500).send({
    status: 'error',
    code: 'INTERNAL_ERROR',
    message: 'An unexpected error occurred',
  });
});

// Route with error schema
app.get('/users/:id', {
  schema: {
    response: {
      404: {
        type: 'object',
        properties: {
          status: { type: 'string' },
          code: { type: 'string' },
          message: { type: 'string' },
        },
      },
    },
  },
  handler: async (request, reply) => {
    const { id } = request.params as { id: string };
    const user = await findUser(id);
    if (!user) throw new NotFoundError('User', id);
    return user;
  },
});","// Bad: using Express-style error handling
app.use((err, req, res, next) => {
  // This is Express, not Fastify!
  res.status(500).send(err.message);
});

// Bad: catching errors in every handler manually
app.get('/users/:id', async (request, reply) => {
  try {
    const user = await findUser(request.params.id);
    reply.send(user);
  } catch (err) {
    // Duplicate error handling in every route
    reply.status(500).send({ error: err.message });
  }
});",error,fastify
4,try/catch with async/await,"try catch, async await, error handling, promise, catch block","When calling async functions that might fail, such as database queries, HTTP calls, or file system operations","Wrap awaited calls in try/catch; re-throw or transform errors with additional context; use finally for cleanup; let errors propagate to centralized handlers when possible","Swallow errors silently in catch blocks; use .then().catch() chains mixed with async/await; catch errors just to re-throw them without adding value","import { PrismaClient } from '@prisma/client';
import { AppError, NotFoundError } from './errors';

const prisma = new PrismaClient();

async function getUserOrders(userId: string) {
  const user = await prisma.user.findUnique({ where: { id: userId } });
  if (!user) {
    throw new NotFoundError('User', userId);
  }

  try {
    const orders = await prisma.order.findMany({
      where: { userId },
      include: { items: true },
    });
    return orders;
  } catch (err) {
    throw new AppError(
      `Failed to fetch orders for user ${userId}`,
      500,
      'ORDER_FETCH_FAILED'
    );
  }
}

// Express route - let errors propagate
const asyncHandler = (fn: Function) =>
  (req: Request, res: Response, next: NextFunction) =>
    Promise.resolve(fn(req, res, next)).catch(next);

router.get('/users/:id/orders', asyncHandler(async (req: Request, res: Response) => {
  const orders = await getUserOrders(req.params.id);
  res.json({ data: orders });
}));","// Bad: silently swallowing errors
async function getUser(id: string) {
  try {
    return await prisma.user.findUnique({ where: { id } });
  } catch (err) {
    // Silent failure — caller has no idea it failed!
    return null;
  }
}

// Bad: pointless re-throw
async function getData() {
  try {
    return await fetchData();
  } catch (err) {
    throw err; // This adds nothing, remove the try/catch
  }
}

// Bad: mixing .then/.catch with async/await
async function loadUser(id: string) {
  const user = await prisma.user.findUnique({ where: { id } })
    .then(u => u)
    .catch(e => null); // Confusing mix of patterns
  return user;
}",error,
5,Zod Validation Errors,"zod, validation, parse, safeParse, ZodError, format, flatten","When using Zod for request validation and you need to return user-friendly error messages from schema parsing failures","Use safeParse instead of parse to avoid throwing; use error.flatten() or error.format() for structured messages; map ZodIssue fields to your API error response shape","Call parse and let ZodError propagate uncaught; return raw Zod error objects to clients; ignore the path field which tells you which property failed","import { z } from 'zod';

const CreateUserSchema = z.object({
  email: z.string().email('Invalid email address'),
  name: z.string().min(2, 'Name must be at least 2 characters'),
  age: z.number().int().min(13, 'Must be at least 13 years old').optional(),
  role: z.enum(['admin', 'user', 'moderator'], {
    errorMap: () => ({ message: 'Role must be admin, user, or moderator' }),
  }),
});

type CreateUserInput = z.infer<typeof CreateUserSchema>;

function validateCreateUser(data: unknown): CreateUserInput {
  const result = CreateUserSchema.safeParse(data);

  if (!result.success) {
    const fieldErrors = result.error.flatten().fieldErrors;
    const messages = Object.entries(fieldErrors)
      .map(([field, errors]) => `${field}: ${errors?.join(', ')}`)
      .join('; ');

    throw new AppError(messages, 400, 'VALIDATION_ERROR');
  }

  return result.data;
}

// Express middleware
function validate<T>(schema: z.ZodSchema<T>) {
  return (req: Request, _res: Response, next: NextFunction) => {
    const result = schema.safeParse(req.body);
    if (!result.success) {
      const errors = result.error.issues.map((issue) => ({
        field: issue.path.join('.'),
        message: issue.message,
      }));
      throw new AppError('Validation failed', 400, 'VALIDATION_ERROR');
    }
    req.body = result.data;
    next();
  };
}","// Bad: using parse which throws ZodError
function validateUser(data: unknown) {
  return CreateUserSchema.parse(data);
  // ZodError thrown here is hard to handle
}

// Bad: returning raw Zod errors to client
app.post('/users', (req, res) => {
  const result = CreateUserSchema.safeParse(req.body);
  if (!result.success) {
    res.status(400).json(result.error); // Raw ZodError object!
  }
});

// Bad: ignoring path information
const errors = zodError.issues.map(i => i.message);
// Loses which field caused each error",warning,zod
6,Result Pattern,"result pattern, either, success, failure, no exceptions, discriminated union","When you want explicit error handling without relying on try/catch for control flow, especially in domain logic where errors are expected outcomes","Define a Result<T, E> discriminated union type with success and failure variants; use type narrowing to access values; compose results with map/flatMap helpers","Use Result everywhere including truly exceptional cases; make the Result type too complex; forget to handle the failure case","type Result<T, E = Error> =
  | { success: true; data: T }
  | { success: false; error: E };

function ok<T>(data: T): Result<T, never> {
  return { success: true, data };
}

function fail<E>(error: E): Result<never, E> {
  return { success: false, error };
}

// Domain errors as a union
type UserError =
  | { code: 'EMAIL_TAKEN'; email: string }
  | { code: 'INVALID_AGE'; age: number }
  | { code: 'NOT_FOUND'; id: string };

async function createUser(input: CreateUserInput): Promise<Result<User, UserError>> {
  const existing = await prisma.user.findUnique({ where: { email: input.email } });
  if (existing) {
    return fail({ code: 'EMAIL_TAKEN', email: input.email });
  }

  if (input.age !== undefined && input.age < 13) {
    return fail({ code: 'INVALID_AGE', age: input.age });
  }

  const user = await prisma.user.create({ data: input });
  return ok(user);
}

// Usage with narrowing
const result = await createUser(input);
if (!result.success) {
  switch (result.error.code) {
    case 'EMAIL_TAKEN':
      throw new ConflictError(`Email ${result.error.email} is already registered`);
    case 'INVALID_AGE':
      throw new AppError('User too young', 400, 'INVALID_AGE');
    case 'NOT_FOUND':
      throw new NotFoundError('User', result.error.id);
  }
}
const user = result.data; // Type is User here","// Bad: overly complex Result with chaining that obscures logic
const user = await createUser(input)
  .then(r => r.map(u => u).flatMap(u => validate(u)).mapErr(e => e));
// Hard to read — just use try/catch for this

// Bad: not handling the failure branch
const result = await createUser(input);
const user = result.data; // TypeScript error: data might not exist!

// Bad: using exceptions for expected outcomes
async function createUser(input: CreateUserInput): Promise<User> {
  const existing = await findByEmail(input.email);
  if (existing) throw new Error('Email taken'); // Expected case, not exceptional
  return prisma.user.create({ data: input });
}",info,
7,unhandledRejection Handler,"unhandledRejection, process.on, promise rejection, crash, graceful shutdown","At application startup to catch any unhandled promise rejections that would otherwise silently fail or crash the process","Register process.on('unhandledRejection') at the top of your entry point; log the error with full context; perform a graceful shutdown after logging; exit with a non-zero code","Ignore unhandled rejections; try to recover and keep running after an unhandled rejection; use this as a substitute for proper error handling","import { logger } from './logger';
import { server } from './server';

process.on('unhandledRejection', (reason: unknown, promise: Promise<unknown>) => {
  logger.fatal({ err: reason, promise }, 'Unhandled promise rejection — shutting down');

  // Attempt graceful shutdown
  server.close(() => {
    process.exit(1);
  });

  // Force exit if graceful shutdown takes too long
  setTimeout(() => {
    logger.fatal('Forced shutdown after timeout');
    process.exit(1);
  }, 10_000).unref();
});

// Ensure every async route handler has error forwarding
const asyncHandler = (fn: Function) =>
  (req: Request, res: Response, next: NextFunction) =>
    Promise.resolve(fn(req, res, next)).catch(next);","// Bad: silently swallowing rejections
process.on('unhandledRejection', () => {
  // Ignoring the error entirely
});

// Bad: continuing to run after unhandled rejection
process.on('unhandledRejection', (reason) => {
  console.log('Oops:', reason);
  // Process continues running in unknown state!
});

// Bad: not logging the error before exit
process.on('unhandledRejection', () => {
  process.exit(1); // No context for debugging
});",critical,
8,uncaughtException Handler,"uncaughtException, process.on, crash handler, fatal error","At application startup to handle truly unexpected exceptions that bypass all error handlers, ensuring the process exits cleanly","Register process.on('uncaughtException') at the entry point; log the error synchronously if possible; always exit the process afterward; clean up resources in a finally block","Try to recover from an uncaughtException; keep the process alive after one; use this as a normal error handling mechanism","import { logger } from './logger';
import { server } from './server';
import { prisma } from './db';

process.on('uncaughtException', (err: Error) => {
  // Log synchronously to ensure it's captured before exit
  logger.fatal({ err }, 'Uncaught exception — process must exit');

  // Attempt to close connections
  Promise.allSettled([
    prisma.$disconnect(),
    new Promise<void>((resolve) => server.close(() => resolve())),
  ]).finally(() => {
    process.exit(1);
  });

  // Hard exit fallback
  setTimeout(() => {
    process.abort();
  }, 5_000).unref();
});

// Also handle uncaughtExceptionMonitor for logging without interfering
process.on('uncaughtExceptionMonitor', (err: Error, origin: string) => {
  logger.fatal({ err, origin }, 'Exception monitor triggered');
});","// Bad: trying to continue after uncaughtException
process.on('uncaughtException', (err) => {
  console.error(err);
  // Process continues — state may be corrupted!
});

// Bad: no logging before exit
process.on('uncaughtException', () => {
  process.exit(1);
});

// Bad: using uncaughtException as normal error handling
process.on('uncaughtException', (err) => {
  if (err.message.includes('not found')) {
    // This is NOT the place for business logic!
    return;
  }
});",critical,
9,HTTP Error Response Shape,"error response, API error, JSON error, error format, standardized","When designing your API's error response format to ensure consistency across all endpoints and make errors easy for clients to consume","Define a single ErrorResponse interface used by all error responses; include a machine-readable code; include a human-readable message; optionally include a details array for validation errors","Return inconsistent error shapes from different endpoints; include internal error details in production responses; use different field names for the same concept across endpoints","interface ErrorResponse {
  status: 'error';
  code: string;
  message: string;
  details?: ErrorDetail[];
  requestId?: string;
}

interface ErrorDetail {
  field: string;
  message: string;
  value?: unknown;
}

// Helper to create consistent responses
function createErrorResponse(
  code: string,
  message: string,
  details?: ErrorDetail[],
  requestId?: string
): ErrorResponse {
  return {
    status: 'error',
    code,
    message,
    ...(details && { details }),
    ...(requestId && { requestId }),
  };
}

// Usage in error handler middleware
export function errorHandler(err: Error, req: Request, res: Response, _next: NextFunction) {
  const requestId = req.headers['x-request-id'] as string;

  if (err instanceof AppError) {
    res.status(err.statusCode).json(
      createErrorResponse(err.code, err.message, undefined, requestId)
    );
    return;
  }

  res.status(500).json(
    createErrorResponse('INTERNAL_ERROR', 'An unexpected error occurred', undefined, requestId)
  );
}","// Bad: inconsistent error shapes
// Endpoint A:
res.status(400).json({ error: 'Invalid email' });
// Endpoint B:
res.status(400).json({ message: 'Bad request', errors: ['Invalid'] });
// Endpoint C:
res.status(400).json({ success: false, msg: 'Validation failed' });

// Bad: leaking internals
res.status(500).json({
  error: err.message,
  stack: err.stack,
  query: 'SELECT * FROM users WHERE...',
});",warning,
10,Domain Error Mapping,"domain error, error mapping, HTTP status, error translation, layer separation","When translating domain-layer errors to HTTP responses at the controller/route level to keep domain logic free of HTTP concerns","Create a mapper function or map object that converts domain error codes to HTTP status codes and messages; keep domain errors HTTP-agnostic; perform mapping at the boundary","Throw HTTP-specific errors from domain/service layers; scatter status code logic across the codebase; couple domain logic to a specific transport","// Domain errors — no HTTP knowledge
type DomainError =
  | { code: 'USER_NOT_FOUND'; userId: string }
  | { code: 'EMAIL_ALREADY_EXISTS'; email: string }
  | { code: 'INSUFFICIENT_BALANCE'; required: number; available: number }
  | { code: 'ACCOUNT_LOCKED'; until: Date }
  | { code: 'RATE_LIMITED'; retryAfter: number };

// Mapping at the HTTP boundary
const domainToHttp: Record<DomainError['code'], { status: number; message: string }> = {
  USER_NOT_FOUND: { status: 404, message: 'User not found' },
  EMAIL_ALREADY_EXISTS: { status: 409, message: 'Email already registered' },
  INSUFFICIENT_BALANCE: { status: 422, message: 'Insufficient balance' },
  ACCOUNT_LOCKED: { status: 423, message: 'Account is temporarily locked' },
  RATE_LIMITED: { status: 429, message: 'Too many requests' },
};

function mapDomainErrorToResponse(error: DomainError): { status: number; body: ErrorResponse } {
  const mapping = domainToHttp[error.code];
  return {
    status: mapping.status,
    body: createErrorResponse(error.code, mapping.message),
  };
}

// In route handler
router.post('/transfer', asyncHandler(async (req, res) => {
  const result = await transferService.execute(req.body);
  if (!result.success) {
    const { status, body } = mapDomainErrorToResponse(result.error);
    return res.status(status).json(body);
  }
  res.status(200).json({ data: result.data });
}));","// Bad: throwing HTTP errors from domain layer
class TransferService {
  async execute(input: TransferInput) {
    if (balance < input.amount) {
      throw new AppError('Insufficient balance', 422, 'BALANCE'); // HTTP in domain!
    }
  }
}

// Bad: scattering status code decisions
// In service:
if (!user) throw new Error('not found');
// In route:
catch (err) {
  if (err.message === 'not found') res.status(404).json(...);
  // Fragile string matching
}",warning,
