No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Setup,"Use App Router project structure","Next.js App Router uses the app/ directory for file-based routing with React Server Components by default. Organize your project with a clear separation of app routes, components, and lib utilities.","Create an app/ directory with layout.tsx and page.tsx at the root; place shared components in a components/ folder and utilities in lib/","Do not mix pages/ and app/ directories for the same routes; do not put non-route files directly in app/ without a naming convention","// Recommended project structure
// app/
//   layout.tsx       <- Root layout
//   page.tsx         <- Home page (/)
//   globals.css
//   dashboard/
//     layout.tsx     <- Nested layout
//     page.tsx       <- /dashboard
// components/
//   ui/button.tsx
// lib/
//   db.ts
//   utils.ts","// BAD: Mixing pages/ and app/ for same routes
// pages/
//   index.tsx        <- Conflicts with app/page.tsx
// app/
//   page.tsx         <- Both define the / route
//
// BAD: No layout.tsx at root
// app/
//   page.tsx         <- Missing required root layout",critical,https://nextjs.org/docs/app/getting-started/project-structure
2,Routing,"Use file-based routing with app directory","Next.js App Router maps the file system to URL paths. Each folder represents a route segment and page.tsx inside it makes the route publicly accessible. Use layout.tsx for shared UI across child routes.","Create a page.tsx file inside each route folder to define the route; use layout.tsx for shared wrappers","Do not create routes without page.tsx; do not use index.tsx naming (that is the Pages Router convention)","// app/about/page.tsx
export default function AboutPage() {
  return (
    <main>
      <h1>About Us</h1>
      <p>Welcome to our application.</p>
    </main>
  );
}","// BAD: Using Pages Router naming in app directory
// app/about/index.tsx  <-- Wrong convention
export default function About() {
  return <h1>About</h1>;
}
// This file will NOT be recognized as a route",critical,https://nextjs.org/docs/app/building-your-application/routing
3,Routing,"Use dynamic routes with [slug] and catch-all [...slug]","Dynamic segments are created by wrapping a folder name in square brackets [slug]. Catch-all segments use [...slug] and optional catch-all uses [[...slug]]. Access params via the params prop in server components.","Use [param] folders for single dynamic segments and [...param] for catch-all routes; always validate params","Do not use query strings for path-based navigation; do not forget to handle missing or invalid params","// app/blog/[slug]/page.tsx
interface BlogPostProps {
  params: Promise<{ slug: string }>;
}

export default async function BlogPost({ params }: BlogPostProps) {
  const { slug } = await params;
  const post = await getPost(slug);
  if (!post) notFound();
  return <article><h1>{post.title}</h1></article>;
}","// BAD: Not validating dynamic params
// app/blog/[slug]/page.tsx
export default async function BlogPost({ params }: any) {
  const { slug } = await params;
  // No validation, no notFound() handling
  const post = await db.post.findFirst({ where: { slug } });
  return <h1>{post.title}</h1>; // Crashes if post is null
}",critical,https://nextjs.org/docs/app/building-your-application/routing/dynamic-routes
4,Routing,"Use route groups (folder) for layout organization","Route groups created with parentheses in folder names like (marketing) let you organize routes without affecting the URL structure. They are useful for applying different layouts to different sections.","Use (groupName) folders to group related routes that share a layout; use multiple root layouts via route groups","Do not create route groups that result in conflicting page.tsx files resolving to the same URL path","// app/(marketing)/layout.tsx
export default function MarketingLayout({
  children,
}: { children: React.ReactNode }) {
  return (
    <div className=""marketing-theme"">
      <nav>Marketing Nav</nav>
      {children}
    </div>
  );
}
// app/(marketing)/about/page.tsx -> /about
// app/(marketing)/pricing/page.tsx -> /pricing","// BAD: Two route groups with conflicting pages
// app/(marketing)/page.tsx   -> resolves to /
// app/(shop)/page.tsx        -> also resolves to /
// This causes a build error!
//
// BAD: Nesting route groups unnecessarily
// app/(group1)/(group2)/page.tsx
// Adds confusion without organizational benefit",high,https://nextjs.org/docs/app/building-your-application/routing/route-groups
5,Server Components,"Use Server Components by default","In the App Router all components are React Server Components (RSC) by default. They run only on the server, can directly access databases and file systems, and send zero JavaScript to the client.","Keep components as server components unless they need browser APIs or interactivity; fetch data directly in the component","Do not add ""use client"" to components that do not need interactivity; do not import client-only libraries in server components without ""use client""","// app/users/page.tsx (Server Component by default)
import { db } from '@/lib/db';

export default async function UsersPage() {
  const users = await db.user.findMany({
    orderBy: { createdAt: 'desc' },
    take: 20,
  });
  return (
    <ul>
      {users.map(user => <li key={user.id}>{user.name}</li>)}
    </ul>
  );
}","// BAD: Adding ""use client"" unnecessarily
""use client"";
import { useEffect, useState } from 'react';

export default function UsersPage() {
  const [users, setUsers] = useState([]);
  useEffect(() => {
    fetch('/api/users').then(r => r.json()).then(setUsers);
  }, []);
  return <ul>{users.map(u => <li key={u.id}>{u.name}</li>)}</ul>;
}",critical,https://nextjs.org/docs/app/building-your-application/rendering/server-components
6,Client Components,"Use ""use client"" directive for client-side interactivity","Add the ""use client"" directive at the top of files that need browser APIs, event handlers, useState, useEffect, or other React hooks. Keep client components as leaf nodes in the component tree for optimal performance.","Add ""use client"" only to components that require interactivity; keep client components small and focused at the leaves of the tree","Do not mark entire pages as client components; do not import server-only code in client components","// components/counter.tsx
""use client"";

import { useState } from 'react';

export default function Counter() {
  const [count, setCount] = useState(0);
  return (
    <button onClick={() => setCount(c => c + 1)}>
      Count: {count}
    </button>
  );
}","// BAD: Making the entire page a client component
""use client"";
// app/dashboard/page.tsx
import { useState } from 'react';
import { db } from '@/lib/db'; // ERROR: Cannot use server-only code

export default function Dashboard() {
  const [tab, setTab] = useState('overview');
  const data = await db.query(); // Cannot use await in client component
  return <div>{data}</div>;
}",critical,https://nextjs.org/docs/app/building-your-application/rendering/client-components
7,Server Actions,"Use server actions for form handling","Server Actions are async functions that run on the server, defined with ""use server"". They can be used in form action attributes for progressive enhancement and work without JavaScript enabled on the client.","Define server actions with ""use server"" in a separate file or inline; use them in form action props; validate inputs with zod or similar","Do not put ""use server"" in client components directly; do not skip input validation in server actions","// app/contacts/actions.ts
""use server"";

import { z } from 'zod';
import { db } from '@/lib/db';
import { revalidatePath } from 'next/cache';

const schema = z.object({
  name: z.string().min(1),
  email: z.string().email(),
});

export async function createContact(formData: FormData) {
  const parsed = schema.safeParse(Object.fromEntries(formData));
  if (!parsed.success) return { error: parsed.error.flatten() };
  await db.contact.create({ data: parsed.data });
  revalidatePath('/contacts');
}","// BAD: No validation in server action
""use server"";

export async function createContact(formData: FormData) {
  const name = formData.get('name') as string;
  const email = formData.get('email') as string;
  // No validation! Trusting raw user input
  await db.contact.create({ data: { name, email } });
}",critical,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations
8,Server Actions,"Use revalidatePath and revalidateTag after mutations","After performing a mutation with a server action call revalidatePath or revalidateTag to purge the cached data so the UI reflects the latest state. This integrates with the Next.js incremental cache.","Call revalidatePath for page-level cache clearing or revalidateTag for granular tag-based invalidation after mutations","Do not forget to revalidate after mutations; do not revalidate overly broad paths that cause unnecessary cache purges","// app/posts/actions.ts
""use server"";

import { revalidatePath } from 'next/cache';
import { revalidateTag } from 'next/cache';
import { db } from '@/lib/db';

export async function updatePost(id: string, formData: FormData) {
  const title = formData.get('title') as string;
  await db.post.update({ where: { id }, data: { title } });
  revalidateTag('posts');
  revalidatePath(`/posts/${id}`);
}","// BAD: Not revalidating after mutation
""use server"";

export async function updatePost(id: string, formData: FormData) {
  const title = formData.get('title') as string;
  await db.post.update({ where: { id }, data: { title } });
  // Missing revalidation! UI shows stale data
  // User must manually refresh the page
}",high,https://nextjs.org/docs/app/building-your-application/caching#revalidating
9,Data Fetching,"Use fetch() with caching in server components","In server components you can use the native fetch API with Next.js caching extensions. By default fetch results are cached. Use next.revalidate or cache: ""no-store"" to control caching behavior.","Use fetch() directly in server components with appropriate cache and revalidate options; colocate data fetching with the component that uses it","Do not fetch data in client components when server components can do it; do not forget to set revalidation for dynamic data","// app/products/page.tsx
interface Product {
  id: string;
  name: string;
  price: number;
}

export default async function ProductsPage() {
  const res = await fetch('https://api.example.com/products', {
    next: { revalidate: 3600, tags: ['products'] },
  });
  const products: Product[] = await res.json();
  return (
    <ul>
      {products.map(p => <li key={p.id}>{p.name} - ${p.price}</li>)}
    </ul>
  );
}","// BAD: Using client-side fetching for static data
""use client"";
import { useEffect, useState } from 'react';

export default function ProductsPage() {
  const [products, setProducts] = useState([]);
  useEffect(() => {
    fetch('https://api.example.com/products')
      .then(r => r.json())
      .then(setProducts);
  }, []);
  return <ul>{products.map(p => <li>{p.name}</li>)}</ul>;
}",high,https://nextjs.org/docs/app/building-your-application/data-fetching/fetching
10,Data Fetching,"Use parallel data fetching for performance","When a component needs multiple independent data sources fetch them in parallel using Promise.all instead of sequentially. This reduces total loading time by running requests concurrently.","Use Promise.all to fetch independent data in parallel; start all promises before awaiting any of them","Do not await each fetch sequentially when the requests are independent; do not create waterfall fetching patterns","// app/dashboard/page.tsx
async function getUser(id: string) {
  const res = await fetch(`https://api.example.com/users/${id}`);
  return res.json();
}

async function getAnalytics(id: string) {
  const res = await fetch(`https://api.example.com/analytics/${id}`);
  return res.json();
}

export default async function Dashboard() {
  const [user, analytics] = await Promise.all([
    getUser('123'),
    getAnalytics('123'),
  ]);
  return <div><h1>{user.name}</h1><p>{analytics.views} views</p></div>;
}","// BAD: Sequential waterfall fetching
export default async function Dashboard() {
  const user = await getUser('123');
  // Waits for user before starting analytics fetch
  const analytics = await getAnalytics('123');
  // Total time = user fetch + analytics fetch
  // Instead of max(user fetch, analytics fetch)
  return <div><h1>{user.name}</h1></div>;
}",high,https://nextjs.org/docs/app/building-your-application/data-fetching/fetching#parallel-data-fetching
