No,Pattern Name,Category,Keywords,Description,When To Use,When Not To Use,Code Example,Anti-Pattern,Complexity,Performance Impact,Common Packages,Docs URL
1,Factory Function,Creational,"factory, creation, validation, encapsulation","Creates objects through functions instead of direct construction, encapsulating validation and initialization logic.","When object creation involves validation; when you need to hide construction complexity; when you want to return different types based on input.","When objects are trivially simple with no validation; when a plain object literal suffices.","import { randomUUID } from 'crypto';

interface User {
  readonly id: string;
  readonly email: string;
  readonly name: string;
  readonly createdAt: Date;
}

interface CreateUserInput {
  email: string;
  name: string;
}

class ValidationError extends Error {
  constructor(public readonly field: string, message: string) {
    super(message);
    this.name = 'ValidationError';
  }
}

function createUser(input: CreateUserInput): User {
  const emailRegex = /^[^\s@]+@[^\s@]+\.[^\s@]+$/;
  if (!emailRegex.test(input.email)) {
    throw new ValidationError('email', `Invalid email: ${input.email}`);
  }
  if (input.name.trim().length < 2) {
    throw new ValidationError('name', 'Name must be at least 2 characters');
  }
  return Object.freeze({
    id: randomUUID(),
    email: input.email.toLowerCase().trim(),
    name: input.name.trim(),
    createdAt: new Date(),
  });
}

// Usage
const user = createUser({ email: 'alice@example.com', name: 'Alice' });
console.log(user.id, user.email);","Directly constructing objects everywhere without validation, leading to inconsistent state and duplicated checks across the codebase.",Low,Negligible,"zod, joi, class-validator",https://refactoring.guru/design-patterns/factory-method
2,Abstract Factory,Creational,"abstract factory, family, platform, theme","Provides an interface for creating families of related objects without specifying their concrete classes.","When you need to create families of related objects that must be used together; when supporting multiple platforms or themes.","When you only have one family of objects; when the families rarely change and the indirection adds unnecessary complexity.","interface Button {
  render(): string;
}

interface TextInput {
  render(): string;
}

interface UIFactory {
  createButton(label: string): Button;
  createTextInput(placeholder: string): TextInput;
}

class DarkButton implements Button {
  constructor(private label: string) {}
  render(): string {
    return `<button class=""dark-btn"">${this.label}</button>`;
  }
}

class DarkTextInput implements TextInput {
  constructor(private placeholder: string) {}
  render(): string {
    return `<input class=""dark-input"" placeholder=""${this.placeholder}"" />`;
  }
}

class LightButton implements Button {
  constructor(private label: string) {}
  render(): string {
    return `<button class=""light-btn"">${this.label}</button>`;
  }
}

class LightTextInput implements TextInput {
  constructor(private placeholder: string) {}
  render(): string {
    return `<input class=""light-input"" placeholder=""${this.placeholder}"" />`;
  }
}

class DarkThemeFactory implements UIFactory {
  createButton(label: string): Button {
    return new DarkButton(label);
  }
  createTextInput(placeholder: string): TextInput {
    return new DarkTextInput(placeholder);
  }
}

class LightThemeFactory implements UIFactory {
  createButton(label: string): Button {
    return new LightButton(label);
  }
  createTextInput(placeholder: string): TextInput {
    return new LightTextInput(placeholder);
  }
}

function buildUI(factory: UIFactory): string {
  const btn = factory.createButton('Submit');
  const input = factory.createTextInput('Enter name...');
  return `${input.render()} ${btn.render()}`;
}

// Usage
const theme = process.env.THEME === 'dark' ? new DarkThemeFactory() : new LightThemeFactory();
console.log(buildUI(theme));","Mixing UI elements from different families with hardcoded conditionals scattered throughout the rendering code.",High,Negligible,"@mui/material, antd",https://refactoring.guru/design-patterns/abstract-factory
3,Builder Pattern,Creational,"builder, chaining, fluent, construction","Constructs complex objects step by step using method chaining, separating construction from representation.","When creating objects with many optional parameters; when construction has multiple steps; when you want a fluent API.","When objects have few fields; when the builder adds complexity without benefit.","interface QueryResult {
  readonly sql: string;
  readonly params: unknown[];
}

class QueryBuilder {
  private tableName = '';
  private conditions: string[] = [];
  private parameters: unknown[] = [];
  private selectedFields: string[] = ['*'];
  private ordering: string[] = [];
  private limitCount?: number;
  private offsetCount?: number;

  from(table: string): this {
    this.tableName = table;
    return this;
  }

  select(...fields: string[]): this {
    this.selectedFields = fields;
    return this;
  }

  where(condition: string, ...params: unknown[]): this {
    this.conditions.push(condition);
    this.parameters.push(...params);
    return this;
  }

  orderBy(field: string, direction: 'ASC' | 'DESC' = 'ASC'): this {
    this.ordering.push(`${field} ${direction}`);
    return this;
  }

  limit(count: number): this {
    this.limitCount = count;
    return this;
  }

  offset(count: number): this {
    this.offsetCount = count;
    return this;
  }

  build(): QueryResult {
    if (!this.tableName) throw new Error('Table name is required');
    const parts = [`SELECT ${this.selectedFields.join(', ')} FROM ${this.tableName}`];
    if (this.conditions.length > 0) {
      parts.push(`WHERE ${this.conditions.join(' AND ')}`);
    }
    if (this.ordering.length > 0) {
      parts.push(`ORDER BY ${this.ordering.join(', ')}`);
    }
    if (this.limitCount !== undefined) {
      parts.push(`LIMIT ${this.limitCount}`);
    }
    if (this.offsetCount !== undefined) {
      parts.push(`OFFSET ${this.offsetCount}`);
    }
    return { sql: parts.join(' '), params: this.parameters };
  }
}

// Usage
const query = new QueryBuilder()
  .from('users')
  .select('id', 'email', 'name')
  .where('status = $1', 'active')
  .where('age > $2', 18)
  .orderBy('name', 'ASC')
  .limit(10)
  .offset(20)
  .build();

console.log(query.sql);
console.log(query.params);","Constructors with dozens of optional parameters (telescoping constructor), making call sites unreadable and error-prone.",Medium,Negligible,"knex, typeorm QueryBuilder, drizzle-orm",https://refactoring.guru/design-patterns/builder
4,Singleton,Creational,"singleton, instance, module, global state","Ensures a class or module has only one instance and provides a global point of access. In Node.js, module caching naturally provides singleton behavior.","When exactly one instance is needed (database pool, configuration, logger); when shared state must be coordinated.","When singletons hide dependencies; when they make testing difficult; when multiple instances are actually needed (e.g., multi-tenant).","import { Pool, PoolConfig } from 'pg';

class Database {
  private static instance: Database | null = null;
  private pool: Pool;

  private constructor(config: PoolConfig) {
    this.pool = new Pool(config);
    this.pool.on('error', (err) => {
      console.error('Unexpected pool error:', err);
    });
  }

  static getInstance(config?: PoolConfig): Database {
    if (!Database.instance) {
      if (!config) {
        throw new Error('Database config required for first initialization');
      }
      Database.instance = new Database(config);
    }
    return Database.instance;
  }

  async query<T extends Record<string, unknown>>(
    text: string,
    params?: unknown[]
  ): Promise<T[]> {
    const client = await this.pool.connect();
    try {
      const result = await client.query(text, params);
      return result.rows as T[];
    } finally {
      client.release();
    }
  }

  async healthCheck(): Promise<boolean> {
    try {
      await this.pool.query('SELECT 1');
      return true;
    } catch {
      return false;
    }
  }

  async shutdown(): Promise<void> {
    await this.pool.end();
    Database.instance = null;
  }

  // For testing: reset the singleton
  static resetForTesting(): void {
    Database.instance = null;
  }
}

// Usage
const db = Database.getInstance({
  host: 'localhost',
  port: 5432,
  database: 'myapp',
  max: 20,
});

const users = await db.query<{ id: string; email: string }>('SELECT id, email FROM users');
console.log(users);","Creating multiple database pool instances throughout the app, wasting connections and causing coordination bugs.",Low,Positive — reuses resources,"pg, mongoose, ioredis, better-sqlite3",https://refactoring.guru/design-patterns/singleton
5,DI Container,Creational,"dependency injection, container, IoC, inversion of control","Manages object creation and dependency resolution through a container, enabling loose coupling and testability.","When applications have deep dependency graphs; when you want to swap implementations easily (e.g., test vs production); when using SOLID principles.","When the app is small and manual injection suffices; when the container magic hides too much and confuses the team.","import 'reflect-metadata';
import { injectable, inject, container, singleton } from 'tsyringe';

interface Logger {
  info(message: string): void;
  error(message: string, error?: Error): void;
}

interface UserRepository {
  findById(id: string): Promise<{ id: string; name: string } | null>;
}

@singleton()
class ConsoleLogger implements Logger {
  info(message: string): void {
    console.log(`[INFO] ${new Date().toISOString()} ${message}`);
  }
  error(message: string, error?: Error): void {
    console.error(`[ERROR] ${new Date().toISOString()} ${message}`, error?.stack);
  }
}

@injectable()
class PostgresUserRepository implements UserRepository {
  constructor(@inject('Logger') private logger: Logger) {}

  async findById(id: string): Promise<{ id: string; name: string } | null> {
    this.logger.info(`Fetching user ${id}`);
    // Simulated database call
    return { id, name: 'Alice' };
  }
}

@injectable()
class UserService {
  constructor(
    @inject('UserRepository') private userRepo: UserRepository,
    @inject('Logger') private logger: Logger
  ) {}

  async getUser(id: string): Promise<{ id: string; name: string }> {
    const user = await this.userRepo.findById(id);
    if (!user) {
      this.logger.error(`User not found: ${id}`);
      throw new Error(`User ${id} not found`);
    }
    this.logger.info(`Retrieved user: ${user.name}`);
    return user;
  }
}

// Register dependencies
container.register('Logger', { useClass: ConsoleLogger });
container.register('UserRepository', { useClass: PostgresUserRepository });

// Resolve
const userService = container.resolve(UserService);
const user = await userService.getUser('123');
console.log(user);","Manually passing dependencies through deeply nested constructors, or using global imports that tightly couple modules.",High,Negligible,"tsyringe, inversify, awilix, typedi",https://github.com/microsoft/tsyringe
6,Module Factory,Creational,"module, factory, configuration, plugin","Creates configurable module instances with encapsulated state, allowing different configurations for different contexts.","When modules need configuration before use; when creating plugins or SDK clients; when you want encapsulated state per instance.","When a single global module is sufficient; when configuration never varies.","interface RedisConfig {
  host: string;
  port: number;
  password?: string;
  db?: number;
  keyPrefix?: string;
}

interface CacheModule {
  get<T>(key: string): Promise<T | null>;
  set<T>(key: string, value: T, ttlSeconds?: number): Promise<void>;
  del(key: string): Promise<void>;
  flush(): Promise<void>;
}

function createCacheModule(config: RedisConfig): CacheModule {
  const prefix = config.keyPrefix ?? '';
  const store = new Map<string, { value: string; expiresAt?: number }>();

  function prefixedKey(key: string): string {
    return `${prefix}${key}`;
  }

  function isExpired(entry: { expiresAt?: number }): boolean {
    return entry.expiresAt !== undefined && Date.now() > entry.expiresAt;
  }

  return {
    async get<T>(key: string): Promise<T | null> {
      const entry = store.get(prefixedKey(key));
      if (!entry || isExpired(entry)) {
        if (entry) store.delete(prefixedKey(key));
        return null;
      }
      return JSON.parse(entry.value) as T;
    },

    async set<T>(key: string, value: T, ttlSeconds?: number): Promise<void> {
      store.set(prefixedKey(key), {
        value: JSON.stringify(value),
        expiresAt: ttlSeconds ? Date.now() + ttlSeconds * 1000 : undefined,
      });
    },

    async del(key: string): Promise<void> {
      store.delete(prefixedKey(key));
    },

    async flush(): Promise<void> {
      for (const k of store.keys()) {
        if (k.startsWith(prefix)) store.delete(k);
      }
    },
  };
}

// Usage: separate caches for different concerns
const sessionCache = createCacheModule({ host: 'localhost', port: 6379, keyPrefix: 'sess:' });
const apiCache = createCacheModule({ host: 'localhost', port: 6379, keyPrefix: 'api:', db: 1 });

await sessionCache.set('user-123', { role: 'admin' }, 3600);
const session = await sessionCache.get<{ role: string }>('user-123');
console.log(session);","Using a single shared global cache with manual key prefixing, risking key collisions and making it impossible to flush one context without affecting another.",Medium,Negligible,"ioredis, keyv, cache-manager",https://nodejs.org/api/modules.html
7,Decorator (TS Decorators),Structural,"decorator, metadata, annotation, AOP","Adds behavior to classes, methods, or properties using TypeScript decorator syntax, enabling aspect-oriented programming.","When adding cross-cutting concerns (logging, validation, caching, authorization); when using frameworks that support decorators (NestJS, TypeORM).","When the team is unfamiliar with decorators; when simpler composition achieves the same result; when targeting environments without decorator support.","import 'reflect-metadata';

// Retry decorator
function Retry(maxAttempts: number, delayMs: number = 1000) {
  return function (
    target: object,
    propertyKey: string,
    descriptor: PropertyDescriptor
  ): PropertyDescriptor {
    const originalMethod = descriptor.value;

    descriptor.value = async function (...args: unknown[]) {
      let lastError: Error | undefined;
      for (let attempt = 1; attempt <= maxAttempts; attempt++) {
        try {
          return await originalMethod.apply(this, args);
        } catch (error) {
          lastError = error as Error;
          console.warn(
            `${propertyKey} attempt ${attempt}/${maxAttempts} failed: ${lastError.message}`
          );
          if (attempt < maxAttempts) {
            await new Promise((r) => setTimeout(r, delayMs * attempt));
          }
        }
      }
      throw lastError;
    };

    return descriptor;
  };
}

// Timing decorator
function Timed(
  target: object,
  propertyKey: string,
  descriptor: PropertyDescriptor
): PropertyDescriptor {
  const originalMethod = descriptor.value;

  descriptor.value = async function (...args: unknown[]) {
    const start = performance.now();
    try {
      return await originalMethod.apply(this, args);
    } finally {
      const duration = (performance.now() - start).toFixed(2);
      console.log(`${propertyKey} executed in ${duration}ms`);
    }
  };

  return descriptor;
}

class PaymentService {
  @Retry(3, 500)
  @Timed
  async processPayment(amount: number, currency: string): Promise<{ txId: string }> {
    const response = await fetch('https://api.payments.example.com/charge', {
      method: 'POST',
      headers: { 'Content-Type': 'application/json' },
      body: JSON.stringify({ amount, currency }),
    });
    if (!response.ok) throw new Error(`Payment failed: ${response.status}`);
    return response.json();
  }
}

// Usage
const payments = new PaymentService();
const result = await payments.processPayment(2999, 'USD');
console.log(result.txId);","Wrapping functions with manual try/catch and timing logic in every method, creating massive code duplication across services.",Medium,Negligible,"reflect-metadata, @nestjs/common, class-validator",https://www.typescriptlang.org/docs/handbook/decorators.html
8,Adapter,Structural,"adapter, wrapper, compatibility, integration","Converts the interface of a class or module into another interface that clients expect, enabling incompatible interfaces to work together.","When integrating third-party libraries with different APIs; when migrating between implementations; when wrapping legacy code.","When interfaces are already compatible; when the adaptation logic becomes too complex and a full rewrite is simpler.","interface EmailProvider {
  sendEmail(options: {
    to: string;
    subject: string;
    html: string;
    from?: string;
  }): Promise<{ messageId: string }>;
}

// SendGrid has its own API shape
interface SendGridMessage {
  personalizations: Array<{ to: Array<{ email: string }> }>;
  from: { email: string };
  subject: string;
  content: Array<{ type: string; value: string }>;
}

class SendGridClient {
  constructor(private apiKey: string) {}
  async send(msg: SendGridMessage): Promise<{ statusCode: number; headers: { 'x-message-id': string } }> {
    console.log(`SendGrid: sending to ${msg.personalizations[0].to[0].email}`);
    return { statusCode: 202, headers: { 'x-message-id': 'sg-' + Date.now() } };
  }
}

class SendGridAdapter implements EmailProvider {
  private client: SendGridClient;

  constructor(apiKey: string, private defaultFrom: string) {
    this.client = new SendGridClient(apiKey);
  }

  async sendEmail(options: {
    to: string;
    subject: string;
    html: string;
    from?: string;
  }): Promise<{ messageId: string }> {
    const msg: SendGridMessage = {
      personalizations: [{ to: [{ email: options.to }] }],
      from: { email: options.from ?? this.defaultFrom },
      subject: options.subject,
      content: [{ type: 'text/html', value: options.html }],
    };

    const response = await this.client.send(msg);
    if (response.statusCode >= 400) {
      throw new Error(`SendGrid error: ${response.statusCode}`);
    }
    return { messageId: response.headers['x-message-id'] };
  }
}

// Usage - consumer only knows EmailProvider interface
async function sendWelcomeEmail(provider: EmailProvider, userEmail: string): Promise<void> {
  const result = await provider.sendEmail({
    to: userEmail,
    subject: 'Welcome!',
    html: '<h1>Welcome to our platform!</h1>',
  });
  console.log(`Sent welcome email: ${result.messageId}`);
}

const emailProvider: EmailProvider = new SendGridAdapter('sg-api-key', 'noreply@example.com');
await sendWelcomeEmail(emailProvider, 'user@example.com');","Scattering provider-specific API calls throughout application code, making it impossible to switch providers without a massive refactor.",Medium,Negligible,"@sendgrid/mail, nodemailer, aws-sdk",https://refactoring.guru/design-patterns/adapter
9,Facade,Structural,"facade, simplification, subsystem, API","Provides a simplified, unified interface to a complex subsystem, hiding internal complexity from consumers.","When a subsystem has many interacting classes; when you want to provide a simple API for common use cases; when decoupling clients from subsystem internals.","When clients need fine-grained access to subsystem details; when the facade becomes a god object with too many responsibilities.","interface OrderRequest {
  userId: string;
  items: Array<{ productId: string; quantity: number }>;
  paymentMethodId: string;
  shippingAddress: { street: string; city: string; zip: string; country: string };
}

interface OrderResult {
  orderId: string;
  total: number;
  estimatedDelivery: Date;
}

// Complex subsystem classes
class InventoryService {
  async checkAndReserve(items: Array<{ productId: string; quantity: number }>): Promise<boolean> {
    console.log(`Checking inventory for ${items.length} items`);
    return true;
  }
  async releaseReservation(items: Array<{ productId: string; quantity: number }>): Promise<void> {
    console.log('Released reservation');
  }
}

class PricingService {
  async calculateTotal(items: Array<{ productId: string; quantity: number }>): Promise<number> {
    return items.reduce((sum, item) => sum + item.quantity * 29.99, 0);
  }
}

class PaymentGateway {
  async charge(paymentMethodId: string, amount: number): Promise<{ transactionId: string }> {
    return { transactionId: `txn_${Date.now()}` };
  }
  async refund(transactionId: string): Promise<void> {
    console.log(`Refunded ${transactionId}`);
  }
}

class ShippingService {
  async createShipment(address: OrderRequest['shippingAddress'], items: OrderRequest['items']): Promise<{ trackingId: string; estimatedDelivery: Date }> {
    return { trackingId: `ship_${Date.now()}`, estimatedDelivery: new Date(Date.now() + 5 * 86400000) };
  }
}

// Facade
class OrderFacade {
  constructor(
    private inventory: InventoryService,
    private pricing: PricingService,
    private payment: PaymentGateway,
    private shipping: ShippingService
  ) {}

  async placeOrder(request: OrderRequest): Promise<OrderResult> {
    const available = await this.inventory.checkAndReserve(request.items);
    if (!available) throw new Error('Items not available');

    const total = await this.pricing.calculateTotal(request.items);

    let transactionId: string;
    try {
      const charge = await this.payment.charge(request.paymentMethodId, total);
      transactionId = charge.transactionId;
    } catch (err) {
      await this.inventory.releaseReservation(request.items);
      throw new Error(`Payment failed: ${(err as Error).message}`);
    }

    const shipment = await this.shipping.createShipment(request.shippingAddress, request.items);

    return {
      orderId: `ord_${Date.now()}`,
      total,
      estimatedDelivery: shipment.estimatedDelivery,
    };
  }
}

// Usage
const facade = new OrderFacade(new InventoryService(), new PricingService(), new PaymentGateway(), new ShippingService());
const order = await facade.placeOrder({
  userId: 'u-1',
  items: [{ productId: 'p-1', quantity: 2 }],
  paymentMethodId: 'pm-1',
  shippingAddress: { street: '123 Main', city: 'NYC', zip: '10001', country: 'US' },
});
console.log(order);","Forcing consumers to manually orchestrate inventory, pricing, payment, and shipping calls in the correct order everywhere an order is placed.",High,Negligible,"stripe, @aws-sdk/client-s3",https://refactoring.guru/design-patterns/facade
10,Proxy,Structural,"proxy, lazy loading, caching, access control","Provides a surrogate or placeholder for another object to control access, add caching, or implement lazy loading.","When you need lazy initialization of expensive resources; when adding caching in front of a service; when implementing access control checks.","When the extra indirection is not justified; when the real object is cheap to create and access.","interface HttpClient {
  get<T>(url: string): Promise<T>;
}

interface CacheEntry<T> {
  data: T;
  expiresAt: number;
}

class RealHttpClient implements HttpClient {
  async get<T>(url: string): Promise<T> {
    const response = await fetch(url);
    if (!response.ok) throw new Error(`HTTP ${response.status}: ${url}`);
    return response.json() as Promise<T>;
  }
}

class CachingProxy implements HttpClient {
  private cache = new Map<string, CacheEntry<unknown>>();

  constructor(
    private client: HttpClient,
    private ttlMs: number = 60_000
  ) {}

  async get<T>(url: string): Promise<T> {
    const cached = this.cache.get(url);
    if (cached && cached.expiresAt > Date.now()) {
      console.log(`[CACHE HIT] ${url}`);
      return cached.data as T;
    }

    console.log(`[CACHE MISS] ${url}`);
    const data = await this.client.get<T>(url);
    this.cache.set(url, { data, expiresAt: Date.now() + this.ttlMs });
    return data;
  }

  invalidate(url: string): void {
    this.cache.delete(url);
  }

  clearAll(): void {
    this.cache.clear();
  }
}

class LoggingProxy implements HttpClient {
  constructor(private client: HttpClient) {}

  async get<T>(url: string): Promise<T> {
    const start = performance.now();
    try {
      const result = await this.client.get<T>(url);
      console.log(`GET ${url} - ${(performance.now() - start).toFixed(0)}ms - OK`);
      return result;
    } catch (error) {
      console.log(`GET ${url} - ${(performance.now() - start).toFixed(0)}ms - FAILED`);
      throw error;
    }
  }
}

// Stack proxies: logging -> caching -> real client
const client: HttpClient = new LoggingProxy(
  new CachingProxy(new RealHttpClient(), 30_000)
);

// Both calls hit the same proxy chain; second call returns cached data
const data1 = await client.get('https://api.example.com/users');
const data2 = await client.get('https://api.example.com/users');
console.log(data1, data2);","Embedding caching and logging logic directly inside the HTTP client class, violating single responsibility and making it impossible to toggle behaviors independently.",Medium,Positive — reduces redundant calls,"http-proxy-middleware, node-cache, lru-cache",https://refactoring.guru/design-patterns/proxy
