No,Guideline,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Interface Segregation,SOLID,"interface segregation,small interface,focused,single purpose",Keep interfaces small and focused on a single responsibility. Clients should not depend on methods they don't use,Create multiple focused interfaces rather than one large one,Create fat interfaces with many methods that most implementers don't need,"interface Readable {\n    public function read(string $key): mixed;\n}\ninterface Writable {\n    public function write(string $key, mixed $value): void;\n}\ninterface Deletable {\n    public function delete(string $key): void;\n}\n// Implement only what you need:\nclass ReadOnlyCache implements Readable {\n    public function read(string $key): mixed { ... }\n}","interface CacheInterface {\n    public function read(string $key): mixed;\n    public function write(string $key, mixed $value): void;\n    public function delete(string $key): void;\n    public function flush(): void;\n    public function increment(string $key): int;\n    public function decrement(string $key): int;\n    public function lock(string $key): Lock;\n    // ReadOnlyCache forced to implement write/delete/etc.\n}",High,https://php.net/language.oop5.interfaces
2,Dependency Inversion,SOLID,"dependency inversion,abstraction,interface,decouple",High-level modules should depend on abstractions not on concrete implementations,Type-hint interfaces in constructors. Use DI container for binding,Type-hint concrete classes directly,"class OrderService {\n    public function __construct(\n        private PaymentGatewayInterface $payments,\n        private OrderRepositoryInterface $orders,\n        private NotificationServiceInterface $notifications\n    ) {}\n    public function process(Order $order): void {\n        $this->payments->charge($order->total);\n        $this->orders->save($order);\n        $this->notifications->send($order->user, 'Order confirmed');\n    }\n}\n// Can swap StripeGateway for PayPalGateway without touching OrderService","class OrderService {\n    public function __construct(\n        private StripeGateway $payments,        // Concrete!\n        private EloquentOrderRepository $orders, // Concrete!\n        private MailService $notifications       // Concrete!\n    ) {}\n    // Cannot swap payment gateway without modifying this class\n}",Critical,https://php.net/language.oop5.interfaces
3,Type Hints and Return Types,Type Safety,"type hint,return type,strict types,scalar,union",Use strict type declarations for parameters and return types in all methods,Declare strict_types=1. Type-hint all parameters and return types. Use union and intersection types,Rely on PHP's implicit type coercion. Leave parameters and returns untyped,"<?php declare(strict_types=1);\n\nclass UserService {\n    public function findById(int $id): ?User {\n        return User::find($id);\n    }\n    public function create(CreateUserDTO $dto): User {\n        return User::create($dto->toArray());\n    }\n    public function search(string $query, int $limit = 10): Collection {\n        return User::where('name', 'like', \"%{$query}%\")->limit($limit)->get();\n    }\n    public function delete(int $id): void {\n        User::findOrFail($id)->delete();\n    }\n}","class UserService {\n    public function findById($id) {    // No type hints\n        return User::find($id);        // No return type\n    }\n    public function create($data) {    // Accepts anything\n        return User::create($data);   // Returns anything\n    }\n}",High,https://php.net/language.types.declarations
4,Abstract Classes vs Interfaces,Design,"abstract,interface,when to use,contract,template",Use interfaces for contracts (what) and abstract classes for shared behavior (how),Interfaces for capability contracts. Abstract classes when sharing implementation,"Use abstract classes as mere interfaces, or interfaces when you need shared code","// Interface: defines WHAT\ninterface Exportable {\n    public function export(string $format): string;\n    public function supportedFormats(): array;\n}\n\n// Abstract class: provides shared HOW\nabstract class BaseExporter implements Exportable {\n    public function export(string $format): string {\n        if (!in_array($format, $this->supportedFormats())) {\n            throw new UnsupportedFormatException($format);\n        }\n        return $this->doExport($format);\n    }\n    abstract protected function doExport(string $format): string;\n}\n\nclass UserExporter extends BaseExporter {\n    public function supportedFormats(): array { return ['csv', 'json']; }\n    protected function doExport(string $format): string { ... }\n}","// Abstract class as poor interface:\nabstract class Repository {\n    abstract public function find(int $id): mixed;\n    // No shared behavior, should be an interface\n}\n\n// Interface with default implementation (PHP 8+):\n// Possible but interface should stay a contract",Medium,https://php.net/language.oop5.abstract
5,Traits for Horizontal Reuse,Composition,"trait,mixin,reuse,multiple inheritance,compose",Use traits to compose reusable behaviors across unrelated classes,Keep traits focused on single concerns. Use traits for cross-cutting behaviors,Create God traits with many methods. Use traits to simulate multiple inheritance,"// Focused trait:\ntrait HasTimestamps {\n    public function getCreatedAtForHumans(): string {\n        return $this->created_at->diffForHumans();\n    }\n    public function isRecent(int $days = 7): bool {\n        return $this->created_at->isAfter(now()->subDays($days));\n    }\n}\n\ntrait Sluggable {\n    public static function bootSluggable(): void {\n        static::creating(function ($model) {\n            $model->slug = Str::slug($model->{$model->slugSource()});\n        });\n    }\n    abstract protected function slugSource(): string;\n}\n\nclass Article extends Model {\n    use HasTimestamps, Sluggable;\n    protected function slugSource(): string { return 'title'; }\n}","trait Everything {\n    public function validate() { ... }\n    public function cache() { ... }\n    public function log() { ... }\n    public function export() { ... }\n    public function format() { ... }\n    // God trait doing too much\n}",Medium,https://php.net/language.oop5.traits
6,PHP Generics via Templates,Type Safety,"generic,template,phpstan,psalm,collection",Use PHPStan/Psalm template annotations for type-safe generic collections and services,Use @template annotations for reusable type-safe code. PHPStan validates at analysis time,Use mixed or untyped collections losing type safety,"/**\n * @template T\n */\ninterface Repository {\n    /**\n     * @param int $id\n     * @return T|null\n     */\n    public function find(int $id): mixed;\n    /**\n     * @param T $entity\n     */\n    public function save(mixed $entity): void;\n}\n\n/**\n * @implements Repository<User>\n */\nclass UserRepository implements Repository {\n    public function find(int $id): ?User {\n        return User::find($id);\n    }\n    public function save(mixed $entity): void {\n        $entity->save();\n    }\n}","interface Repository {\n    public function find(int $id): mixed; // What type?\n    public function save(mixed $entity): void; // What type?\n}\n// No type safety at the generic level\n// Errors only discovered at runtime",Medium,https://phpstan.org/blog/generics-in-php-using-phpdocs
7,Readonly Properties and Classes,Immutability,"readonly,immutable,final,php 8.1,php 8.2",Use readonly properties for immutable value objects and DTOs,Make DTOs and value objects readonly. Use constructor promotion,Use regular mutable properties for objects that should never change,"final readonly class Money {\n    public function __construct(\n        public int $amount,\n        public string $currency\n    ) {}\n    public function add(self $other): self {\n        if ($this->currency !== $other->currency) {\n            throw new CurrencyMismatchException();\n        }\n        return new self($this->amount + $other->amount, $this->currency);\n    }\n    public function equals(self $other): bool {\n        return $this->amount === $other->amount && $this->currency === $other->currency;\n    }\n}","class Money {\n    public int $amount;    // Mutable!\n    public string $currency; // Can be changed accidentally\n    public function __construct(int $amount, string $currency) {\n        $this->amount = $amount;\n        $this->currency = $currency;\n    }\n}\n$money = new Money(100, 'USD');\n$money->amount = -999; // Oops, no protection",Medium,https://php.net/language.oop5.properties#language.oop5.properties.readonly-properties
8,Constructor Promotion,Modern PHP,"constructor promotion,parameter promotion,php 8,concise",Use constructor parameter promotion to reduce boilerplate in class definitions,Use promoted parameters for simple property initialization,Mix promoted and non-promoted unnecessarily,"class CreateOrderDTO {\n    public function __construct(\n        public readonly int $userId,\n        public readonly array $items,\n        public readonly string $shippingAddress,\n        public readonly ?string $couponCode = null\n    ) {}\n}\n\nclass UserController {\n    public function __construct(\n        private readonly UserService $userService,\n        private readonly OrderService $orderService\n    ) {}\n}","// Old style (unnecessary boilerplate):\nclass CreateOrderDTO {\n    public readonly int $userId;\n    public readonly array $items;\n    public readonly string $shippingAddress;\n    public readonly ?string $couponCode;\n    \n    public function __construct(int $userId, array $items, string $shippingAddress, ?string $couponCode = null) {\n        $this->userId = $userId;\n        $this->items = $items;\n        $this->shippingAddress = $shippingAddress;\n        $this->couponCode = $couponCode;\n    }\n}",Low,https://php.net/language.oop5.decon#language.oop5.decon.constructor.promotion
9,Enums as Types,Type Safety,"enum,backed enum,type safe,state machine,php 8.1",Use backed enums for type-safe values that have a fixed set of possible states,Use backed enums for status fields. Implement methods on enums for behavior,Use string constants or plain strings for fixed value sets,"enum PaymentStatus: string {\n    case Pending = 'pending';\n    case Completed = 'completed';\n    case Failed = 'failed';\n    case Refunded = 'refunded';\n\n    public function label(): string {\n        return match($this) {\n            self::Pending => 'Payment Pending',\n            self::Completed => 'Payment Completed',\n            self::Failed => 'Payment Failed',\n            self::Refunded => 'Refunded',\n        };\n    }\n    public function color(): string {\n        return match($this) {\n            self::Pending => 'yellow',\n            self::Completed => 'green',\n            self::Failed => 'red',\n            self::Refunded => 'gray',\n        };\n    }\n}\n\n// In Eloquent model:\nprotected $casts = ['payment_status' => PaymentStatus::class];","class PaymentStatus {\n    const PENDING = 'pending';\n    const COMPLETED = 'completed';\n    const FAILED = 'failed';\n}\n// No type safety: setStatus('invalid_value') compiles fine\n// No IDE autocompletion for values\n// No methods attached to values",Medium,https://php.net/language.enumerations
10,Named Arguments,Modern PHP,"named arguments,readability,optional parameters,php 8",Use named arguments for functions with many parameters or boolean flags,Use named arguments for clarity especially with boolean or optional parameters,Pass positional arguments to functions with many optional parameters,"// Clear and readable:\n$user = User::factory()->create(\n    name: 'John Doe',\n    email: 'john@example.com',\n    role: 'admin'\n);\n\n// Boolean parameters are clear:\nStr::contains(\n    haystack: $title,\n    needles: 'PHP',\n    ignoreCase: true\n);\n\n// Skip optional parameters:\nroute('users.index', absolute: false);","// Unclear positional arguments:\n$user = User::factory()->create(\n    'John Doe',     // what is this?\n    'john@example.com', // and this?\n    'admin'         // and this?\n);\n\n// Boolean mystery:\nStr::contains($title, 'PHP', true); // true = ?",Low,https://php.net/functions.arguments#functions.named-arguments
