No,Pattern Name,Keywords,Context,Do,Dont,Code Good,Code Bad,Severity,Package
1,thiserror Derive,"thiserror, derive, Error, enum","Define domain-specific error types with automatic Error trait implementation","Use #[derive(Error)] with #[error()] format strings and #[from] for automatic conversion","Manually implement Display and Error for every error type","use thiserror::Error;\n\n#[derive(Error, Debug)]\nenum UserError {\n    #[error(""user {id} not found"")]\n    NotFound { id: u64 },\n    #[error(""email {0} is invalid"")]\n    InvalidEmail(String),\n    #[error(""database error"")]\n    Database(#[from] sqlx::Error),\n}","enum UserError {\n    NotFound(u64),\n    InvalidEmail(String),\n    Database(sqlx::Error),\n}\nimpl std::fmt::Display for UserError {\n    fn fmt(&self, f: &mut std::fmt::Formatter) -> std::fmt::Result {\n        // tedious manual display implementation\n        match self { /* ... */ }\n    }\n}\nimpl std::error::Error for UserError {}",Critical,thiserror
2,anyhow Context,"anyhow, context, Result, ?","Add context to errors as they propagate up the call stack","Use .context() or .with_context(|| ...) to add human-readable context to any error","Return bare errors with no context making debugging difficult","use anyhow::{Context, Result};\n\nfn load_config(path: &str) -> Result<Config> {\n    let data = std::fs::read_to_string(path)\n        .with_context(|| format!(""failed to read {path}""))?;\n    let cfg: Config = toml::from_str(&data)\n        .context(""failed to parse config TOML"")?;\n    Ok(cfg)\n}","fn load_config(path: &str) -> Result<Config, Box<dyn std::error::Error>> {\n    let data = std::fs::read_to_string(path)?;\n    let cfg: Config = toml::from_str(&data)?;\n    Ok(cfg)\n    // error: ""No such file or directory"" with no context\n}",Critical,anyhow
3,Question Mark Operator,"?, try, propagation, early return","Propagate errors concisely using the ? operator","Use ? to propagate errors; implement From conversions so ? works across error types","Use verbose match blocks or .unwrap() to handle every error manually","fn read_username() -> Result<String, std::io::Error> {\n    let mut s = String::new();\n    std::fs::File::open(""user.txt"")?\n        .read_to_string(&mut s)?;\n    Ok(s.trim().to_string())\n}","fn read_username() -> Result<String, std::io::Error> {\n    let f = match std::fs::File::open(""user.txt"") {\n        Ok(f) => f,\n        Err(e) => return Err(e),\n    };\n    let mut s = String::new();\n    match f.read_to_string(&mut s) {\n        Ok(_) => {},\n        Err(e) => return Err(e),\n    }\n    Ok(s.trim().to_string())\n}",High,std
4,Custom Error Type,"struct, Error, source, Display","Create a custom error struct with source chaining for rich context","Implement Error with source() method to enable error chain traversal; use #[source] with thiserror","Store inner errors as Strings losing the ability to inspect the error chain","#[derive(Debug)]\nstruct AppError {\n    message: String,\n    source: Option<Box<dyn std::error::Error + Send + Sync>>,\n}\n\nimpl std::fmt::Display for AppError {\n    fn fmt(&self, f: &mut std::fmt::Formatter<'_>) -> std::fmt::Result {\n        write!(f, ""{}"", self.message)\n    }\n}\n\nimpl std::error::Error for AppError {\n    fn source(&self) -> Option<&(dyn std::error::Error + 'static)> {\n        self.source.as_ref().map(|e| e.as_ref() as &dyn std::error::Error)\n    }\n}","struct AppError {\n    message: String,\n}\n// source error discarded, cannot traverse error chain\n// debugging is impossible without the original cause",High,std
5,Error Type Downcasting,"downcast_ref, Error, source chain","Check if an error in the chain is a specific type","Use .downcast_ref::<T>() to check for specific error types in the chain; walk source() for nested errors","Use string matching on error messages for control flow","fn handle_error(err: &dyn std::error::Error) {\n    if let Some(io_err) = err.downcast_ref::<std::io::Error>() {\n        match io_err.kind() {\n            std::io::ErrorKind::NotFound => {\n                eprintln!(""File not found"");\n            }\n            std::io::ErrorKind::PermissionDenied => {\n                eprintln!(""Permission denied"");\n            }\n            _ => eprintln!(""IO error: {io_err}""),\n        }\n    }\n}","fn handle_error(err: &dyn std::error::Error) {\n    if err.to_string().contains(""not found"") {\n        // fragile string matching\n        // breaks if error message changes\n    }\n}",Critical,std
6,Result Combinators,"map, and_then, map_err, or_else","Chain Result methods to transform values and errors without nested match blocks","Use .map(), .map_err(), .and_then(), .unwrap_or_else() for clean error transformation pipelines","Use deeply nested match blocks for every Result transformation","fn parse_port(s: &str) -> Result<u16, String> {\n    s.parse::<u16>()\n        .map_err(|e| format!(""invalid port ''{s}'': {e}""))\n}\n\nfn get_config_port() -> u16 {\n    std::env::var(""PORT"")\n        .ok()\n        .and_then(|p| p.parse().ok())\n        .unwrap_or(8080)\n}","fn get_config_port() -> u16 {\n    match std::env::var(""PORT"") {\n        Ok(p) => match p.parse::<u16>() {\n            Ok(v) => v,\n            Err(_) => 8080,\n        },\n        Err(_) => 8080,\n    }\n}",Medium,std
7,Panic vs Result,"panic, unwrap, expect, Result, recoverable","Distinguish between recoverable errors (Result) and unrecoverable bugs (panic)","Use Result for any error a caller can handle; only panic for programmer bugs and invariant violations","Use .unwrap() on Results from user input or I/O that can legitimately fail","fn must_compile_regex(pattern: &str) -> regex::Regex {\n    regex::Regex::new(pattern)\n        .unwrap_or_else(|e| panic!(""invalid regex '{pattern}': {e}""))\n}\n\n// Compile-time constant regex: panic is appropriate\nstatic EMAIL_RE: std::sync::LazyLock<regex::Regex> = std::sync::LazyLock::new(|| {\n    must_compile_regex(r""^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$"")\n});","fn load_config(path: &str) -> Config {\n    let data = std::fs::read_to_string(path).unwrap(); // panics on missing file\n    toml::from_str(&data).unwrap() // panics on parse error\n    // should return Result, not panic\n}",Critical,std
8,Box dyn Error,"Box, dyn Error, trait object, erased","Use Box<dyn Error> as a quick error type for prototyping or when you need type-erased errors","Use Box<dyn std::error::Error + Send + Sync> for quick prototypes; migrate to thiserror/anyhow for production code","Use Box<dyn Error> as the long-term error type in library APIs where callers need to match on variants","fn quick_prototype() -> Result<(), Box<dyn std::error::Error>> {\n    let data = std::fs::read_to_string(""data.json"")?;\n    let parsed: serde_json::Value = serde_json::from_str(&data)?;\n    println!(""{parsed}"");\n    Ok(())\n}","// In a library API:\npub fn parse(input: &str) -> Result<Ast, Box<dyn std::error::Error>> {\n    // callers cannot match on specific error variants\n    // poor API design for a library\n}",Medium,std
9,Error Conversion with From,"From, Into, ?, conversion","Implement From to enable automatic error conversion with the ? operator","Implement From<SourceError> for TargetError or use #[from] with thiserror","Chain .map_err() everywhere when From conversion would be cleaner","#[derive(Debug, thiserror::Error)]\nenum AppError {\n    #[error(""io: {0}"")]\n    Io(#[from] std::io::Error),\n    #[error(""json: {0}"")]\n    Json(#[from] serde_json::Error),\n}\n\nfn load() -> Result<Value, AppError> {\n    let data = std::fs::read_to_string(""data.json"")?; // io::Error -> AppError via From\n    let val = serde_json::from_str(&data)?; // serde_json::Error -> AppError via From\n    Ok(val)\n}","fn load() -> Result<Value, AppError> {\n    let data = std::fs::read_to_string(""data.json"")\n        .map_err(AppError::Io)?;\n    let val = serde_json::from_str(&data)\n        .map_err(AppError::Json)?;\n    Ok(val)\n    // verbose, when #[from] does this automatically\n}",High,std
10,Validation Errors,"validate, field, multi-error, collection","Collect and return multiple validation errors at once","Accumulate all field errors into a Vec and return them together","Return on the first validation error forcing users to fix one field at a time","#[derive(Debug)]\nstruct FieldError {\n    field: &'static str,\n    message: String,\n}\n\nfn validate_user(user: &CreateUser) -> Result<(), Vec<FieldError>> {\n    let mut errors = Vec::new();\n    if user.name.is_empty() {\n        errors.push(FieldError { field: ""name"", message: ""is required"".into() });\n    }\n    if !user.email.contains('@') {\n        errors.push(FieldError { field: ""email"", message: ""invalid format"".into() });\n    }\n    if user.age > 150 {\n        errors.push(FieldError { field: ""age"", message: ""must be <= 150"".into() });\n    }\n    if errors.is_empty() { Ok(()) } else { Err(errors) }\n}","fn validate_user(user: &CreateUser) -> Result<(), String> {\n    if user.name.is_empty() {\n        return Err(""name is required"".into());\n    }\n    // user must fix one field at a time\n}",Medium,std
11,HTTP Error Responses,"axum, actix, response, IntoResponse, status","Return structured JSON error responses from HTTP handlers","Define an error type that implements IntoResponse with proper status codes and JSON body","Return plain text errors or inconsistent error shapes","use axum::{response::{IntoResponse, Response}, http::StatusCode, Json};\nuse serde_json::json;\n\nenum ApiError {\n    NotFound(String),\n    BadRequest(String),\n    Internal(anyhow::Error),\n}\n\nimpl IntoResponse for ApiError {\n    fn into_response(self) -> Response {\n        let (status, msg) = match self {\n            ApiError::NotFound(m) => (StatusCode::NOT_FOUND, m),\n            ApiError::BadRequest(m) => (StatusCode::BAD_REQUEST, m),\n            ApiError::Internal(e) => {\n                tracing::error!(""internal: {e:?}"");\n                (StatusCode::INTERNAL_SERVER_ERROR, ""internal error"".into())\n            }\n        };\n        (status, Json(json!({ ""error"": msg }))).into_response()\n    }\n}","async fn get_user(id: u64) -> impl IntoResponse {\n    match find_user(id).await {\n        Ok(u) => (StatusCode::OK, Json(u)).into_response(),\n        Err(e) => (StatusCode::INTERNAL_SERVER_ERROR, e.to_string()).into_response(),\n        // leaks internal error details to client\n    }\n}",High,axum
12,Error Logging Strategy,"tracing, log, error, once","Log errors once at the boundary and propagate them everywhere else","Return errors up the stack and log them in one place such as middleware or main","Log the same error at every layer creating duplicate noisy log entries","async fn handler(req: Request) -> Result<Response, ApiError> {\n    let user = get_user(req.user_id)\n        .await\n        .map_err(ApiError::Internal)?; // just propagate\n    Ok(Json(user).into_response())\n}\n\n// Log once in middleware:\nasync fn log_errors<B>(req: Request<B>, next: Next<B>) -> Response {\n    let resp = next.run(req).await;\n    if resp.status().is_server_error() {\n        tracing::error!(status = %resp.status(), ""server error"");\n    }\n    resp\n}","async fn get_user(id: u64) -> Result<User, AppError> {\n    let user = db.find(id).await.map_err(|e| {\n        tracing::error!(""db error: {e}""); // logged here\n        AppError::Database(e)\n    })?;\n    Ok(user)\n}\n// AND logged again in handler, AND in middleware",High,tracing
13,Expect with Context,"expect, unwrap, message, debug","Provide meaningful panic messages with .expect() when unwrap is justified","Use .expect(""descriptive message"") that explains why the value should be present","Use bare .unwrap() with no explanation of the invariant","let config_dir = dirs::config_dir()\n    .expect(""OS must have a config directory"");\n\nlet re = regex::Regex::new(r""\\d+"").expect(""regex is valid"");\n\nlet handle = thread::spawn(|| heavy_work())\n    .join()\n    .expect(""worker thread panicked"");","let config_dir = dirs::config_dir().unwrap();\n// thread 'main' panicked at 'called `Option::unwrap()` on a `None` value'\n// no clue what went wrong or why it was expected to succeed",High,std
14,TryFrom / TryInto,"TryFrom, TryInto, fallible conversion","Use TryFrom for fallible type conversions that may fail with a well-typed error","Implement TryFrom<Source> for Target when conversion can fail; the TryInto impl is provided automatically","Return generic errors from conversion or use as for lossy numeric casts","struct Percentage(u8);\n\nimpl TryFrom<u8> for Percentage {\n    type Error = &'static str;\n    fn try_from(value: u8) -> Result<Self, Self::Error> {\n        if value <= 100 {\n            Ok(Percentage(value))\n        } else {\n            Err(""percentage must be 0-100"")\n        }\n    }\n}\n\nlet p = Percentage::try_from(85)?; // Ok\nlet p = Percentage::try_from(150)?; // Err","let p = value as u8; // silent truncation for values > 255\n// no validation, silently wraps\nstruct Percentage(u8); // can hold invalid values like 200",Medium,std
