No,Idiom,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Docs URL
1,Strict Types Declaration,Type Safety,"strict_types,declare,type coercion,scalar",Always declare strict_types=1 at the top of every PHP file to prevent implicit type coercion,Put declare(strict_types=1) as the very first statement after <?php,"Rely on PHP's loose type coercion which can cause subtle bugs","<?php declare(strict_types=1);\n\nfunction add(int $a, int $b): int {\n    return $a + $b;\n}\nadd(2, 3);    // OK\nadd('2', '3'); // TypeError! Caught at compile time","<?php\n// No strict_types\nfunction add(int $a, int $b): int {\n    return $a + $b;\n}\nadd('2', '3'); // Returns 5! Silent coercion\nadd('abc', 3); // Might be 3! PHP coerces 'abc' to 0",https://php.net/language.types.declarations#language.types.declarations.strict
2,Null Coalescing Operator,Syntax,"null coalescing,??,default,fallback",Use ?? and ??= to provide default values for nullable expressions concisely,Use ?? for default values. Use ??= for assignment with default,"Write verbose isset() checks or ternary expressions for null handling","$username = $request->input('username') ?? 'guest';\n$config['timeout'] ??= 30;\n\n// Chaining:\n$value = $cache->get($key) ?? $session->get($key) ?? $default;\n\n// Method calls:\n$name = $user?->profile?->displayName ?? 'Anonymous';","$username = isset($request->input('username')) ? $request->input('username') : 'guest';\n\nif (!isset($config['timeout'])) {\n    $config['timeout'] = 30;\n}",https://php.net/language.operators.comparison#language.operators.comparison.coalesce
3,Match Expression,Control Flow,"match,switch,expression,strict comparison,php 8",Use match instead of switch for strict comparison and expression-based control flow,Use match for value mapping and type-safe comparisons. Match is an expression (returns a value),Use switch for simple value mapping which uses loose comparison,"$status = match($order->status) {\n    'pending' => 'Awaiting processing',\n    'processing' => 'Being prepared',\n    'shipped' => 'On the way',\n    'delivered' => 'Received',\n    default => throw new InvalidStatusException($order->status),\n};\n\n// Multiple conditions:\n$category = match(true) {\n    $age < 13 => 'child',\n    $age < 18 => 'teenager',\n    $age < 65 => 'adult',\n    default => 'senior',\n};","switch ($order->status) {\n    case 'pending':\n        $status = 'Awaiting processing';\n        break; // easy to forget!\n    case 'processing':\n        $status = 'Being prepared';\n        break;\n    default:\n        $status = 'Unknown';\n}\n// Switch uses == (loose), match uses === (strict)",https://php.net/control-structures.match
4,Arrow Functions,Syntax,"arrow function,fn,short closure,lambda",Use fn() => for single-expression closures that automatically capture outer variables,Use arrow functions for simple one-expression callbacks in array operations,"Use arrow functions for multi-line logic (not supported)","$prices = [10, 20, 30, 40];\n$discounted = array_map(fn($price) => $price * 0.9, $prices);\n\n$active = $users->filter(fn(User $user) => $user->isActive());\n$names = $users->map(fn(User $user) => $user->name);\n\n// Captures outer variables automatically:\n$minAge = 18;\n$adults = $users->filter(fn(User $u) => $u->age >= $minAge);","$discounted = array_map(function ($price) {\n    return $price * 0.9;  // Verbose for a simple operation\n}, $prices);\n\n// Needs explicit use() for outer vars:\n$adults = $users->filter(function ($u) use ($minAge) {\n    return $u->age >= $minAge;\n});",https://php.net/functions.arrow
5,Named Arguments,Readability,"named argument,clarity,optional,boolean flag,php 8",Use named arguments to improve readability especially for boolean flags and optional parameters,"Use named arguments when parameter names add clarity, skip optional params, or with boolean flags","Pass positional boolean arguments where the meaning is unclear","// Clear intent:\n$mail->send(\n    to: $user->email,\n    subject: 'Welcome',\n    priority: 'high',\n    attachInvoice: true\n);\n\n// Skip optional parameters:\nstr_contains(haystack: $text, needles: 'PHP', ignoreCase: true);\n\n// Self-documenting factory calls:\nUser::factory()->create(\n    name: 'Admin',\n    role: 'admin',\n    emailVerified: true\n);","$mail->send($user->email, 'Welcome', null, null, 'high', true);\n// What is null? What is true?\n\nstr_contains($text, 'PHP', true);\n// true = ?",https://php.net/functions.arguments#functions.named-arguments
6,Enumeration Pattern,Type Safety,"enum,backed,status,type safe,finite set",Use PHP 8.1+ enums for any finite set of values. Backed enums for database storage,Use backed enums for status fields that are stored in the database. Add methods for behavior,"Use string constants, arrays, or class constants for finite value sets","enum Priority: int {\n    case Low = 1;\n    case Medium = 2;\n    case High = 3;\n    case Critical = 4;\n\n    public function color(): string {\n        return match($this) {\n            self::Low => '#4ade80',\n            self::Medium => '#facc15',\n            self::High => '#f97316',\n            self::Critical => '#ef4444',\n        };\n    }\n}\n// In Eloquent:\nprotected $casts = ['priority' => Priority::class];\n$ticket->priority = Priority::High;","class Priority {\n    const LOW = 1;\n    const MEDIUM = 2;\n    const HIGH = 3;\n}\n// No type safety:\n$ticket->priority = 999; // Accepted without error\n// No methods:\n$color = match($ticket->priority) { ... } // Duplicated everywhere",https://php.net/language.enumerations
7,First-Class Callable Syntax,Syntax,"callable,closure,first class,reference,php 8.1",Reference functions and methods as closures using the ... syntax (PHP 8.1+),Use Closure::fromCallable() or ... syntax to pass methods as callbacks,"Pass method names as strings losing type safety","// First-class callable:\n$callback = strlen(...);\narray_map($callback, $strings);\n\n// Method reference:\n$validator = $this->validateEmail(...);\narray_filter($emails, $validator);\n\n// Static method:\n$formatter = Number::format(...);\n\n// With higher-order collection methods:\n$users->map($this->formatUser(...));","// String callable (no IDE support, not type-safe):\narray_map('strlen', $strings);\n\n// Array callable (ugly):\narray_filter($emails, [$this, 'validateEmail']);",https://php.net/functions.first_class_callable_syntax
8,Guard Clauses (Early Return),Control Flow,"guard clause,early return,happy path,defensive",Return early for edge cases to keep the main logic unindented at the function's top level,Return early for validation failures error cases and edge conditions at the top,Deeply nest if/else blocks for validation and error handling,"function processOrder(Order $order): OrderResult {\n    if ($order->isCancelled()) {\n        throw new OrderCancelledException($order->id);\n    }\n    if ($order->items->isEmpty()) {\n        throw new EmptyOrderException($order->id);\n    }\n    if (!$order->user->hasValidPaymentMethod()) {\n        throw new NoPaymentMethodException($order->user->id);\n    }\n    // Happy path - no nesting:\n    $payment = $this->chargePayment($order);\n    $this->updateInventory($order);\n    $this->sendConfirmation($order);\n    return new OrderResult($order, $payment);\n}","function processOrder(Order $order): OrderResult {\n    if (!$order->isCancelled()) {\n        if ($order->items->isNotEmpty()) {\n            if ($order->user->hasValidPaymentMethod()) {\n                $payment = $this->chargePayment($order);\n                // More nesting...\n            } else {\n                throw new Exception('No payment');\n            }\n        } else {\n            throw new Exception('Empty order');\n        }\n    } else {\n        throw new Exception('Cancelled');\n    }\n}",https://refactoring.guru/replace-nested-conditional-with-guard-clauses
9,PSR-12 Coding Style,Standards,"psr-12,coding style,formatting,standard,php-fig",Follow PSR-12 extended coding style for consistent readable PHP code,Use PHP CS Fixer or Laravel Pint to enforce PSR-12 automatically,Invent your own coding style or mix different styles across the project,"// PSR-12 class:\nnamespace App\\Services;\n\nuse App\\Models\\User;\nuse Illuminate\\Support\\Collection;\n\nclass UserService\n{\n    public function __construct(\n        private readonly UserRepository $users,\n        private readonly CacheManager $cache,\n    ) {\n    }\n\n    public function findActive(): Collection\n    {\n        return $this->cache->remember('active-users', 3600, function () {\n            return $this->users->findActive();\n        });\n    }\n}","// Inconsistent style:\nclass userService{\npublic function FindActive() {\n$result=$this->users->findActive();\nreturn $result;\n}\n}",https://www.php-fig.org/psr/psr-12/
10,Collection Pipeline,Data Processing,"collection,pipeline,map,filter,reduce,chain",Use Laravel Collection methods for expressive data transformation pipelines,Chain collection methods for readable data transformations,Use nested loops and temporary variables for data transformations,"$report = $orders\n    ->where('status', 'completed')\n    ->whereBetween('created_at', [$startDate, $endDate])\n    ->groupBy('category')\n    ->map(fn($group) => [\n        'count' => $group->count(),\n        'total' => $group->sum('amount'),\n        'average' => $group->avg('amount'),\n    ])\n    ->sortByDesc('total')\n    ->take(10);","$result = [];\nforeach ($orders as $order) {\n    if ($order->status !== 'completed') continue;\n    if ($order->created_at < $startDate) continue;\n    $cat = $order->category;\n    if (!isset($result[$cat])) $result[$cat] = ['count' => 0, 'total' => 0];\n    $result[$cat]['count']++;\n    $result[$cat]['total'] += $order->amount;\n}\nusort($result, fn($a, $b) => $b['total'] - $a['total']);\n$result = array_slice($result, 0, 10);",https://laravel.com/docs/collections
