No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Database Schema,Define a users table with password_hash and role columns,"Store user credentials securely. The password_hash column stores bcrypt output, the role column uses a CHECK constraint, and email has a unique index.","Use BIGSERIAL id, TEXT password_hash with bcrypt, role with CHECK constraint, unique email, timestamps.","Store plaintext passwords, use integer for roles without constraint, skip email unique index.","CREATE TABLE users (\n    id BIGSERIAL PRIMARY KEY,\n    email TEXT NOT NULL UNIQUE,\n    password_hash TEXT NOT NULL,\n    role TEXT NOT NULL DEFAULT 'user' CHECK (role IN ('user', 'admin', 'superadmin')),\n    email_verified BOOLEAN NOT NULL DEFAULT FALSE,\n    created_at TIMESTAMPTZ NOT NULL DEFAULT NOW(),\n    updated_at TIMESTAMPTZ NOT NULL DEFAULT NOW()\n);\nCREATE INDEX idx_users_email ON users (email);","CREATE TABLE users (\n    id INT AUTO_INCREMENT,\n    email VARCHAR(255),\n    password VARCHAR(255),\n    role INT DEFAULT 0,\n    PRIMARY KEY (id)\n);",Critical,https://pkg.go.dev/golang.org/x/crypto/bcrypt
2,Password Hashing,Hash passwords with bcrypt at cost 12,"Use golang.org/x/crypto/bcrypt for password hashing. Cost 12 balances security and performance (~250ms per hash). Never store plaintext passwords.",Use bcrypt.GenerateFromPassword with cost 12. Compare with bcrypt.CompareHashAndPassword. Never log or return the hash.,"Store plaintext passwords, use MD5/SHA256 for passwords, use cost lower than 10.","import ""golang.org/x/crypto/bcrypt""\n\nfunc HashPassword(password string) (string, error) {\n    bytes, err := bcrypt.GenerateFromPassword([]byte(password), 12)\n    if err != nil {\n        return """", fmt.Errorf(""hash password: %w"", err)\n    }\n    return string(bytes), nil\n}\n\nfunc CheckPassword(hash, password string) bool {\n    err := bcrypt.CompareHashAndPassword([]byte(hash), []byte(password))\n    return err == nil\n}","import ""crypto/sha256""\n\nfunc HashPassword(password string) string {\n    h := sha256.Sum256([]byte(password))\n    return fmt.Sprintf(""%x"", h)\n}\n\nfunc CheckPassword(hash, password string) bool {\n    return hash == HashPassword(password)\n}",Critical,https://pkg.go.dev/golang.org/x/crypto/bcrypt
3,User Registration,Register handler with input validation and password hashing,"Validate email format and password strength, hash password with bcrypt, insert user into database, return user without password_hash.","Validate email and password length (min 8 chars), hash before insert, return created user without hash, use proper HTTP status 201.","Return password_hash in response, skip validation, use GET for registration, allow empty passwords.","type RegisterRequest struct {\n    Email    string `json:""email""`\n    Password string `json:""password""`\n}\n\nfunc (h *AuthHandler) Register(w http.ResponseWriter, r *http.Request) {\n    var req RegisterRequest\n    if err := json.NewDecoder(r.Body).Decode(&req); err != nil {\n        respondError(w, http.StatusBadRequest, ""invalid request body"")\n        return\n    }\n    if req.Email == """" || len(req.Password) < 8 {\n        respondError(w, http.StatusBadRequest, ""email required, password min 8 chars"")\n        return\n    }\n    hash, err := bcrypt.GenerateFromPassword([]byte(req.Password), 12)\n    if err != nil {\n        respondError(w, http.StatusInternalServerError, ""internal error"")\n        return\n    }\n    user, err := h.repo.CreateUser(r.Context(), req.Email, string(hash))\n    if err != nil {\n        respondError(w, http.StatusConflict, ""email already exists"")\n        return\n    }\n    respondJSON(w, http.StatusCreated, map[string]any{""id"": user.ID, ""email"": user.Email})\n}","func (h *AuthHandler) Register(w http.ResponseWriter, r *http.Request) {\n    var req RegisterRequest\n    json.NewDecoder(r.Body).Decode(&req)\n    h.repo.CreateUser(r.Context(), req.Email, req.Password)\n    w.Write([]byte(""ok""))\n}",Critical,https://pkg.go.dev/golang.org/x/crypto/bcrypt
4,User Login,Login handler with credential verification and JWT generation,"Find user by email, compare password with bcrypt, generate JWT with role claims, return token. Use same error message for both wrong email and wrong password to prevent enumeration.","Return same error for invalid email or password, use bcrypt.CompareHashAndPassword, generate JWT with role claim, set reasonable expiry (15min access + 7d refresh).","Return different errors for wrong email vs wrong password, skip bcrypt comparison, use long-lived access tokens.","func (h *AuthHandler) Login(w http.ResponseWriter, r *http.Request) {\n    var req LoginRequest\n    if err := json.NewDecoder(r.Body).Decode(&req); err != nil {\n        respondError(w, http.StatusBadRequest, ""invalid request"")\n        return\n    }\n    user, err := h.repo.FindByEmail(r.Context(), req.Email)\n    if err != nil || user == nil {\n        respondError(w, http.StatusUnauthorized, ""invalid credentials"")\n        return\n    }\n    if err := bcrypt.CompareHashAndPassword([]byte(user.PasswordHash), []byte(req.Password)); err != nil {\n        respondError(w, http.StatusUnauthorized, ""invalid credentials"")\n        return\n    }\n    token, err := GenerateJWT(h.jwtSecret, user.ID, user.Role, user.Email)\n    if err != nil {\n        respondError(w, http.StatusInternalServerError, ""internal error"")\n        return\n    }\n    respondJSON(w, http.StatusOK, map[string]string{""token"": token})\n}","func (h *AuthHandler) Login(w http.ResponseWriter, r *http.Request) {\n    var req LoginRequest\n    json.NewDecoder(r.Body).Decode(&req)\n    user, _ := h.repo.FindByEmail(r.Context(), req.Email)\n    if user == nil {\n        respondError(w, 401, ""user not found"")\n        return\n    }\n    if user.Password != req.Password {\n        respondError(w, 401, ""wrong password"")\n        return\n    }\n    w.Write([]byte(user.ID))\n}",Critical,https://pkg.go.dev/github.com/golang-jwt/jwt/v5
5,JWT Generation,Generate JWT tokens with role and email claims,"Include sub (user ID), role, email, iat, and exp claims. Use HS256 signing with a strong secret. Access token: 15 min expiry. Refresh token: 7 days.","Use jwt.NewWithClaims with MapClaims, include role and email in claims, set short expiry for access tokens, use crypto/rand for secrets.","Hardcode JWT secret, skip expiry, include password_hash in claims, use none algorithm.","import ""github.com/golang-jwt/jwt/v5""\n\nfunc GenerateJWT(secret string, userID int64, role, email string) (string, error) {\n    claims := jwt.MapClaims{\n        ""sub"":   userID,\n        ""role"":  role,\n        ""email"": email,\n        ""iat"":   time.Now().Unix(),\n        ""exp"":   time.Now().Add(15 * time.Minute).Unix(),\n    }\n    token := jwt.NewWithClaims(jwt.SigningMethodHS256, claims)\n    return token.SignedString([]byte(secret))\n}","func GenerateJWT(userID int64) string {\n    token := jwt.New(jwt.SigningMethodNone)\n    claims := token.Claims.(jwt.MapClaims)\n    claims[""sub""] = userID\n    t, _ := token.SignedString(jwt.UnsafeAllowNoneSignatureType)\n    return t\n}",Critical,https://pkg.go.dev/github.com/golang-jwt/jwt/v5
6,JWT Auth Middleware,Validate Bearer token and inject claims into request context,"Parse Authorization header, validate JWT signature and expiry, extract claims (userID, role, email), store in context. Return 401 for invalid/expired tokens.","Parse Bearer token from Authorization header, validate with jwt.Parse, store claims in context via context.WithValue, call next handler on success.","Skip signature validation, ignore token expiry, parse token in every handler instead of middleware.","type Claims struct {\n    UserID int64  `json:""sub""`\n    Role   string `json:""role""`\n    Email  string `json:""email""`\n}\n\ntype ctxKey string\nconst ClaimsKey ctxKey = ""claims""\n\nfunc AuthMiddleware(jwtSecret string) func(http.Handler) http.Handler {\n    return func(next http.Handler) http.Handler {\n        return http.HandlerFunc(func(w http.ResponseWriter, r *http.Request) {\n            header := r.Header.Get(""Authorization"")\n            if header == """" || !strings.HasPrefix(header, ""Bearer "") {\n                http.Error(w, `{""error"":""missing token""}`, 401)\n                return\n            }\n            tokenStr := strings.TrimPrefix(header, ""Bearer "")\n            token, err := jwt.Parse(tokenStr, func(t *jwt.Token) (any, error) {\n                if _, ok := t.Method.(*jwt.SigningMethodHMAC); !ok {\n                    return nil, fmt.Errorf(""unexpected signing method"")\n                }\n                return []byte(jwtSecret), nil\n            })\n            if err != nil || !token.Valid {\n                http.Error(w, `{""error"":""invalid token""}`, 401)\n                return\n            }\n            mc := token.Claims.(jwt.MapClaims)\n            claims := Claims{\n                UserID: int64(mc[""sub""].(float64)),\n                Role:   mc[""role""].(string),\n                Email:  mc[""email""].(string),\n            }\n            ctx := context.WithValue(r.Context(), ClaimsKey, claims)\n            next.ServeHTTP(w, r.WithContext(ctx))\n        })\n    }\n}","func AuthMiddleware(next http.Handler) http.Handler {\n    return http.HandlerFunc(func(w http.ResponseWriter, r *http.Request) {\n        token := r.Header.Get(""Token"")\n        if token == """" {\n            http.Error(w, ""no token"", 401)\n            return\n        }\n        // no validation, just pass through\n        next.ServeHTTP(w, r)\n    })\n}",Critical,https://pkg.go.dev/github.com/golang-jwt/jwt/v5
7,Admin Role Middleware,Check admin role from JWT claims in middleware,"Dedicated middleware that runs after AuthMiddleware. Extracts claims from context and checks role == admin. Returns 403 Forbidden if not admin. Chain: AuthMiddleware -> AdminOnly -> handler.","Chain AdminOnly after AuthMiddleware, extract claims from context, check role field, return 403 with generic message.","Check admin role inside every handler, return 401 instead of 403, expose role requirements in error message.","func AdminOnly(next http.Handler) http.Handler {\n    return http.HandlerFunc(func(w http.ResponseWriter, r *http.Request) {\n        claims, ok := r.Context().Value(ClaimsKey).(Claims)\n        if !ok || claims.Role != ""admin"" {\n            http.Error(w, `{""error"":""forbidden""}`, http.StatusForbidden)\n            return\n        }\n        next.ServeHTTP(w, r)\n    })\n}\n\n// Usage in router:\n// r.With(AuthMiddleware(secret), AdminOnly).Get(""/admin/users"", handler.ListUsers)","func (h *Handler) ListUsers(w http.ResponseWriter, r *http.Request) {\n    claims := r.Context().Value(""claims"").(Claims)\n    if claims.Role != ""admin"" {\n        http.Error(w, ""not admin"", 401)\n        return\n    }\n    // handler logic duplicated in every admin endpoint\n}",High,https://pkg.go.dev/net/http
8,RBAC Pattern,Role-based access control with role hierarchy and permission middleware,"Define roles as typed constants with a hierarchy (user < admin < superadmin). Create a RequireRole middleware that accepts minimum role level. Superadmin inherits all admin permissions.","Define role constants with iota, create RoleLevel map for hierarchy, use RequireRole(minRole) middleware factory.","Use string comparison for roles, hardcode role checks, skip role hierarchy.","type Role string\n\nconst (\n    RoleUser       Role = ""user""\n    RoleAdmin      Role = ""admin""\n    RoleSuperAdmin Role = ""superadmin""\n)\n\nvar roleLevel = map[Role]int{\n    RoleUser:       1,\n    RoleAdmin:      2,\n    RoleSuperAdmin: 3,\n}\n\nfunc RequireRole(minRole Role) func(http.Handler) http.Handler {\n    return func(next http.Handler) http.Handler {\n        return http.HandlerFunc(func(w http.ResponseWriter, r *http.Request) {\n            claims, ok := r.Context().Value(ClaimsKey).(Claims)\n            if !ok {\n                http.Error(w, `{""error"":""unauthorized""}`, 401)\n                return\n            }\n            if roleLevel[Role(claims.Role)] < roleLevel[minRole] {\n                http.Error(w, `{""error"":""forbidden""}`, 403)\n                return\n            }\n            next.ServeHTTP(w, r)\n        })\n    }\n}\n\n// r.With(Auth(secret), RequireRole(RoleAdmin)).Get(""/admin/stats"", ...)\n// r.With(Auth(secret), RequireRole(RoleSuperAdmin)).Delete(""/admin/users/{id}"", ...)","func isAdmin(r *http.Request) bool {\n    role := r.Header.Get(""X-Role"")\n    return role == ""admin"" || role == ""superadmin""\n}",High,https://pkg.go.dev/net/http
9,Context Helpers,Type-safe helper functions to get auth claims from context,"Create helper functions GetClaims, GetUserID, GetUserRole that extract from context with proper type assertion. Use typed context key to avoid collisions.",Use typed ctxKey string constant. Return (value + bool) or (value + error) from helpers. Never use string keys directly.,"Use raw string keys for context, skip type assertion checks, panic on missing claims.","func GetClaims(ctx context.Context) (Claims, bool) {\n    claims, ok := ctx.Value(ClaimsKey).(Claims)\n    return claims, ok\n}\n\nfunc GetUserID(ctx context.Context) (int64, bool) {\n    claims, ok := GetClaims(ctx)\n    if !ok {\n        return 0, false\n    }\n    return claims.UserID, true\n}\n\nfunc GetUserRole(ctx context.Context) (string, bool) {\n    claims, ok := GetClaims(ctx)\n    if !ok {\n        return """", false\n    }\n    return claims.Role, true\n}\n\n// In handler:\n// userID, ok := GetUserID(r.Context())\n// if !ok { respondError(w, 401, ""unauthorized""); return }","func GetUserID(r *http.Request) int64 {\n    return r.Context().Value(""userID"").(int64) // panics if missing\n}",Medium,https://pkg.go.dev/context
10,Refresh Token,Issue opaque refresh tokens stored in database with rotation,"Generate crypto-random refresh token, store hashed in DB with user_id and expiry. On refresh: validate, delete old token, issue new access + refresh pair. This is token rotation.",Generate 32-byte crypto/rand token. Store SHA256 hash in DB (not plaintext). Rotate on every use. Set 7-day expiry. Delete on logout.,"Store refresh token in plaintext, reuse same token forever, skip rotation, store in localStorage.","import ""crypto/rand""\nimport ""crypto/sha256""\nimport ""encoding/hex""\n\nfunc GenerateRefreshToken() (string, string, error) {\n    b := make([]byte, 32)\n    if _, err := rand.Read(b); err != nil {\n        return """", """", err\n    }\n    token := hex.EncodeToString(b)\n    hash := sha256.Sum256([]byte(token))\n    return token, hex.EncodeToString(hash[:]), nil\n}\n\n// Store hash in DB:\n// INSERT INTO refresh_tokens (user_id, token_hash, expires_at)\n// VALUES ($1, $2, NOW() + INTERVAL '7 days')\n\nfunc (h *AuthHandler) Refresh(w http.ResponseWriter, r *http.Request) {\n    var req struct{ RefreshToken string `json:""refresh_token""` }\n    json.NewDecoder(r.Body).Decode(&req)\n    hash := sha256.Sum256([]byte(req.RefreshToken))\n    hashStr := hex.EncodeToString(hash[:])\n    rt, err := h.repo.FindRefreshToken(r.Context(), hashStr)\n    if err != nil || rt == nil || rt.ExpiresAt.Before(time.Now()) {\n        respondError(w, 401, ""invalid refresh token"")\n        return\n    }\n    h.repo.DeleteRefreshToken(r.Context(), rt.ID) // rotate\n    // issue new access + refresh tokens\n}","func (h *AuthHandler) Refresh(w http.ResponseWriter, r *http.Request) {\n    token := r.Header.Get(""Refresh-Token"")\n    rt, _ := h.repo.FindByToken(r.Context(), token) // plaintext lookup\n    // reuse same refresh token forever\n    accessToken, _ := GenerateJWT(h.secret, rt.UserID, """", """")\n    json.NewEncoder(w).Encode(map[string]string{""token"": accessToken})\n}",High,https://pkg.go.dev/crypto/rand
11,Logout & Revocation,Delete refresh token on logout to revoke session,"On logout, delete the refresh token from database. For JWT access tokens, they remain valid until expiry (short-lived 15min). For stricter revocation, maintain a blacklist.","Delete refresh token from DB on logout. Use short-lived access tokens (15min) so forced revocation is rarely needed. If needed, maintain an in-memory blacklist for JWTs.","Rely on client to delete token, use long-lived access tokens without revocation, skip refresh token cleanup.","func (h *AuthHandler) Logout(w http.ResponseWriter, r *http.Request) {\n    claims, ok := GetClaims(r.Context())\n    if !ok {\n        respondError(w, 401, ""unauthorized"")\n        return\n    }\n    // Delete all refresh tokens for this user\n    if err := h.repo.DeleteRefreshTokensByUser(r.Context(), claims.UserID); err != nil {\n        respondError(w, 500, ""internal error"")\n        return\n    }\n    respondJSON(w, 200, map[string]string{""message"": ""logged out""})\n}","func (h *AuthHandler) Logout(w http.ResponseWriter, r *http.Request) {\n    w.Write([]byte(""bye"")) // does nothing server-side\n}",Medium,https://pkg.go.dev/net/http
12,Password Reset,Secure password reset flow with expiring token,"Generate crypto-random token, store hashed in DB with expiry (1 hour). Send reset link via email. On reset: validate token, hash new password, update user, delete token.","Generate 32-byte random token, store SHA256 hash with 1-hour expiry. Validate token + update password in single transaction. Return same response for valid and invalid emails (prevent enumeration).","Send password in email, use predictable tokens, long expiry, expose whether email exists.","func (h *AuthHandler) ForgotPassword(w http.ResponseWriter, r *http.Request) {\n    var req struct{ Email string `json:""email""` }\n    json.NewDecoder(r.Body).Decode(&req)\n    // Always return 200 to prevent email enumeration\n    defer respondJSON(w, 200, map[string]string{""message"": ""if the email exists, a reset link was sent""})\n    user, err := h.repo.FindByEmail(r.Context(), req.Email)\n    if err != nil || user == nil {\n        return\n    }\n    token, hash, _ := GenerateRefreshToken() // reuse random token generator\n    h.repo.CreateResetToken(r.Context(), user.ID, hash, time.Now().Add(1*time.Hour))\n    // send email with: https://app.com/reset?token=<token>\n}\n\nfunc (h *AuthHandler) ResetPassword(w http.ResponseWriter, r *http.Request) {\n    var req struct {\n        Token       string `json:""token""`\n        NewPassword string `json:""new_password""`\n    }\n    json.NewDecoder(r.Body).Decode(&req)\n    hash := sha256.Sum256([]byte(req.Token))\n    rt, err := h.repo.FindResetToken(r.Context(), hex.EncodeToString(hash[:]))\n    if err != nil || rt == nil || rt.ExpiresAt.Before(time.Now()) {\n        respondError(w, 400, ""invalid or expired token"")\n        return\n    }\n    newHash, _ := bcrypt.GenerateFromPassword([]byte(req.NewPassword), 12)\n    h.repo.UpdatePassword(r.Context(), rt.UserID, string(newHash))\n    h.repo.DeleteResetToken(r.Context(), rt.ID)\n    respondJSON(w, 200, map[string]string{""message"": ""password reset successful""})\n}","func (h *AuthHandler) ResetPassword(w http.ResponseWriter, r *http.Request) {\n    email := r.URL.Query().Get(""email"")\n    newPass := r.URL.Query().Get(""password"") // password in URL!\n    h.repo.UpdatePasswordByEmail(r.Context(), email, newPass) // plaintext!\n    w.Write([]byte(""ok""))\n}",High,https://pkg.go.dev/crypto/rand
